	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
20	expanse	9.0	0.4027	was good	7.0	0.3133	it was good	5.0	0.2239	of the tree of	4.0	0.1792	expanse of the heavens to	3.0	0.1345	in which is their seed each	2	0.0897
21	ground	9.0	0.4027	and let	7.0	0.3133	to their kinds	5.0	0.2239	the lord god said	4.0	0.1792	the birds of the heavens	3.0	0.1345	which is their seed each according	2	0.0897
22	saw	8.0	0.3579	earth and	7.0	0.3133	of the garden	5.0	0.2239	the heavens and the	3.0	0.1344	birds of the heavens and	3.0	0.1345	is their seed each according to	2	0.0897
23	land	8.0	0.3579	said to	7.0	0.3133	in the garden	5.0	0.2239	heavens and the earth	3.0	0.1344	his work that he had	3.0	0.1345	their seed each according to its	2	0.0897
24	fruit	8.0	0.3579	man and	7.0	0.3133	said to the	5.0	0.2239	god said let there	3.0	0.1344	work that he had done	3.0	0.1345	seed each according to its kind	2	0.0897
25	one	7.0	0.3132	the field	7.0	0.3133	said let the	4.0	0.1791	said let there be	3.0	0.1344	then the lord god said	3.0	0.1345	the earth and it was so	2	0.0897
26	living	7.0	0.3132	eat of	7.0	0.3133	according to its	4.0	0.1791	in the midst of	3.0	0.1344	over the face of the	2.0	0.0896	be lights in the expanse of	2	0.0897
27	life	7.0	0.3132	good and	6.0	0.2686	to its kind	4.0	0.1791	the midst of the	3.0	0.1344	the light from the darkness	2.0	0.0896	lights in the expanse of the	2	0.0897
28	field	7.0	0.3132	was evening	6.0	0.2686	the expanse of	4.0	0.1791	the waters that were	3.0	0.1344	god said let the waters	2.0	0.0896	expanse of the heavens to give	2	0.0897
29	created	6.0	0.2685	evening and	6.0	0.2686	expanse of the	4.0	0.1791	to its kind and	3.0	0.1344	god said let the earth	2.0	0.0896	of the heavens to give light	2	0.0897
30	evening	6.0	0.2685	was morning	6.0	0.2686	their kinds and	4.0	0.1791	its kind and god	3.0	0.1344	trees bearing fruit in which	2.0	0.0896	be fruitful and multiply and fill	2	0.0897
31	morning	6.0	0.2685	morning the	6.0	0.2686	beast of the	4.0	0.1791	kind and god saw	3.0	0.1344	bearing fruit in which is	2.0	0.0896	fruitful and multiply and fill the	2	0.0897
32	seed	6.0	0.2685	god made	6.0	0.2686	the seventh day	4.0	0.1791	in the expanse of	3.0	0.1344	fruit in which is their	2.0	0.0896	beasts of the earth according to	2	0.0897
33	kinds	6.0	0.2685	the day	6.0	0.2686	lord god had	4.0	0.1791	of the heavens to	3.0	0.1344	in which is their seed	2.0	0.0896	of the earth according to their	2	0.0897
34	work	6.0	0.2685	day and	5.0	0.2238	then the lord	4.0	0.1791	that creeps on the	3.0	0.1344	which is their seed each	2.0	0.0896	the earth according to their kinds	2	0.0897
35	wife	6.0	0.2685	let the	5.0	0.2238	good and evil	4.0	0.1791	the birds of the	3.0	0.1344	is their seed each according	2.0	0.0896	earth according to their kinds and	2	0.0897
36	face	5.0	0.2237	kinds and	5.0	0.2238	shall not eat	4.0	0.1791	birds of the heavens	3.0	0.1344	their seed each according to	2.0	0.0896	have dominion over the fish of	2	0.0897
37	birds	5.0	0.2237	their kinds	5.0	0.2238	lord god said	4.0	0.1791	every beast of the	3.0	0.1344	seed each according to its	2.0	0.0896	dominion over the fish of the	2	0.0897
38	livestock	5.0	0.2237	of life	5.0	0.2238	to the woman	4.0	0.1791	his work that he	3.0	0.1344	each according to its kind	2.0	0.0896	over the fish of the sea	2	0.0897
39	done	5.0	0.2237	his wife	5.0	0.2238	you shall eat	4.0	0.1791	work that he had	3.0	0.1344	the earth and it was	2.0	0.0896	the fish of the sea and	2	0.0897
40	eden	5.0	0.2237	the serpent	5.0	0.2238	heavens and the	3.0	0.1343	that he had done	3.0	0.1344	earth and it was so	2.0	0.0896	fish of the sea and over	2	0.0897
41	name	5.0	0.2237	he said	5.0	0.2238	and the earth	3.0	0.1343	that the lord god	3.0	0.1344	be lights in the expanse	2.0	0.0896	of the sea and over the	2	0.0897
42	serpent	5.0	0.2237	face of	4.0	0.1791	the face of	3.0	0.1343	the lord god made	3.0	0.1344	lights in the expanse of	2.0	0.0896	the sea and over the birds	2	0.0897
43	2	4.0	0.179	the light	4.0	0.1791	face of the	3.0	0.1343	and the lord god	3.0	0.1344	of the heavens to give	2.0	0.0896	sea and over the birds of	2	0.0897
44	darkness	4.0	0.179	god called	4.0	0.1791	said let there	3.0	0.1343	the tree of life	3.0	0.1344	the heavens to give light	2.0	0.0896	and over the birds of the	2	0.0897
45	3	4.0	0.179	night and	4.0	0.1791	let there be	3.0	0.1343	the name of the	3.0	0.1344	be fruitful and multiply and	2.0	0.0896	over the birds of the heavens	2	0.0897
46	night	4.0	0.179	its kind	4.0	0.1791	god called the	3.0	0.1343	the garden of eden	3.0	0.1344	fruitful and multiply and fill	2.0	0.0896	birds of the heavens and over	2	0.0897
47	trees	4.0	0.179	expanse of	4.0	0.1791	day and the	3.0	0.1343	you shall not eat	3.0	0.1344	and multiply and fill the	2.0	0.0896	and to every beast of the	2	0.0897
48	kind	4.0	0.179	and every	4.0	0.1791	in the midst	3.0	0.1343	beast of the field	3.0	0.1344	beasts of the earth according	2.0	0.0896	every bird of the heavens and	2	0.0897
49	forth	4.0	0.179	livestock and	4.0	0.1791	the midst of	3.0	0.1343	said to the woman	3.0	0.1344	of the earth according to	2.0	0.0896	from all his work that he	2	0.0897
50	rule	4.0	0.179	everything that	4.0	0.1791	midst of the	3.0	0.1343	shall not eat of	3.0	0.1344	the earth according to their	2.0	0.0896	all his work that he had	2	0.0897
51	multiply	4.0	0.179	for food	4.0	0.1791	and god made	3.0	0.1343	over the face of	2.0	0.0896	earth according to their kinds	2.0	0.0896	out of the ground the lord	2	0.0897
52	everything	4.0	0.179	beast of	4.0	0.1791	the waters that	3.0	0.1343	the face of the	2.0	0.0896	everything that creeps on the	2.0	0.0896	of the ground the lord god	2	0.0897
53	food	4.0	0.179	the seventh	4.0	0.1791	waters that were	3.0	0.1343	the light from the	2.0	0.0896	have dominion over the fish	2.0	0.0896	in the midst of the garden	2	0.0897
54	beast	4.0	0.179	seventh day	4.0	0.1791	its kind and	3.0	0.1343	light from the darkness	2.0	0.0896	dominion over the fish of	2.0	0.0896	the tree of the knowledge of	2	0.0897
55	seventh	4.0	0.179	god had	4.0	0.1791	kind and god	3.0	0.1343	said let the waters	2.0	0.0896	over the fish of the	2.0	0.0896	tree of the knowledge of good	2	0.0897
56	dust	4.0	0.179	and evil	4.0	0.1791	in the expanse	3.0	0.1343	said let the earth	2.0	0.0896	the fish of the sea	2.0	0.0896	of the knowledge of good and	2	0.0897
57	evil	4.0	0.179	of eden	4.0	0.1791	the heavens to	3.0	0.1343	trees bearing fruit in	2.0	0.0896	fish of the sea and	2.0	0.0896	the knowledge of good and evil	2	0.0897
58	river	4.0	0.179	shall not	4.0	0.1791	the night and	3.0	0.1343	bearing fruit in which	2.0	0.0896	of the sea and over	2.0	0.0896	it is the one that flowed	2	0.0897
59	surely	4.0	0.179	not eat	4.0	0.1791	and let them	3.0	0.1343	fruit in which is	2.0	0.0896	the sea and over the	2.0	0.0896	is the one that flowed around	2	0.0897
60	gave	4.0	0.179	shall eat	4.0	0.1791	god made the	3.0	0.1343	which is their seed	2.0	0.0896	sea and over the birds	2.0	0.0896	the one that flowed around the	2	0.0897
61	flesh	4.0	0.179	god created	3.0	0.1343	the day and	3.0	0.1343	is their seed each	2.0	0.0896	and over the birds of	2.0	0.0896	one that flowed around the whole	2	0.0897
62	taken	4.0	0.179	the face	3.0	0.1343	beasts of the	3.0	0.1343	their seed each according	2.0	0.0896	over the birds of the	2.0	0.0896	that flowed around the whole land	2	0.0897
63	naked	4.0	0.179	let there	3.0	0.1343	of the earth	3.0	0.1343	seed each according to	2.0	0.0896	of the heavens and over	2.0	0.0896	flowed around the whole land of	2	0.0897
64	ate	4.0	0.179	the darkness	3.0	0.1343	that creeps on	3.0	0.1343	each according to its	2.0	0.0896	that creeps on the earth	2.0	0.0896	the garden of eden to work	2	0.0897
65	creation	3.0	0.1342	called the	3.0	0.1343	creeps on the	3.0	0.1343	the earth and it	2.0	0.0896	and to every beast of	2.0	0.0896	and the man and his wife	2	0.0897
66	4	3.0	0.1342	the midst	3.0	0.1343	the birds of	3.0	0.1343	earth and it was	2.0	0.0896	to every beast of the	2.0	0.0896	eat of the fruit of the	2	0.0897
67	5	3.0	0.1342	midst of	3.0	0.1343	birds of the	3.0	0.1343	be lights in the	2.0	0.0896	every bird of the heavens	2.0	0.0896	eaten of the tree of which	2	0.0897
68	6	3.0	0.1342	separate the	3.0	0.1343	god said to	3.0	0.1343	lights in the expanse	2.0	0.0896	bird of the heavens and	2.0	0.0896	of the tree of which i	2	0.0897
69	midst	3.0	0.1342	waters that	3.0	0.1343	and to every	3.0	0.1343	and let them be	2.0	0.0896	of the heavens and to	2.0	0.0896	the tree of which i commanded	2	0.0897
70	separate	3.0	0.1342	8 and	3.0	0.1343	every beast of	3.0	0.1343	the heavens to give	2.0	0.0896	from all his work that	2.0	0.0896	tree of which i commanded you	2	0.0897
71	7	3.0	0.1342	yielding seed	3.0	0.1343	his work that	3.0	0.1343	heavens to give light	2.0	0.0896	all his work that he	2.0	0.0896	the lord god said to the	2	0.0897
72	8	3.0	0.1342	kind and	3.0	0.1343	work that he	3.0	0.1343	and god made the	2.0	0.0896	out of the ground the	2.0	0.0896	all the days of your life	2	0.0897
73	9	3.0	0.1342	heavens to	3.0	0.1343	he had done	3.0	0.1343	light to rule the	2.0	0.0896	of the ground the lord	2.0	0.0896	the creation of the world 1	1	0.0448
74	together	3.0	0.1342	the night	3.0	0.1343	that the lord	3.0	0.1343	the day and the	2.0	0.0896	the ground the lord god	2.0	0.0896	creation of the world 1 in	1	0.0448
75	10	3.0	0.1342	let them	3.0	0.1343	lord god made	3.0	0.1343	every living creature that	2.0	0.0896	the midst of the garden	2.0	0.0896	of the world 1 in the	1	0.0448
76	11	3.0	0.1342	made the	3.0	0.1343	of the ground	3.0	0.1343	and god blessed them	2.0	0.0896	the tree of the knowledge	2.0	0.0896	the world 1 in the beginning	1	0.0448
77	plants	3.0	0.1342	to rule	3.0	0.1343	and the man	3.0	0.1343	be fruitful and multiply	2.0	0.0896	tree of the knowledge of	2.0	0.0896	world 1 in the beginning god	1	0.0448
78	yielding	3.0	0.1342	so god	3.0	0.1343	and the lord	3.0	0.1343	fruitful and multiply and	2.0	0.0896	of the knowledge of good	2.0	0.0896	1 in the beginning god created	1	0.0448
79	12	3.0	0.1342	every living	3.0	0.1343	tree of life	3.0	0.1343	and multiply and fill	2.0	0.0896	the knowledge of good and	2.0	0.0896	in the beginning god created the	1	0.0448
80	brought	3.0	0.1342	living creature	3.0	0.1343	the garden and	3.0	0.1343	multiply and fill the	2.0	0.0896	knowledge of good and evil	2.0	0.0896	the beginning god created the heavens	1	0.0448
81	13	3.0	0.1342	god blessed	3.0	0.1343	tree of the	3.0	0.1343	beasts of the earth	2.0	0.0896	it is the one that	2.0	0.0896	beginning god created the heavens and	1	0.0448
82	14	3.0	0.1342	bring forth	3.0	0.1343	of eden to	3.0	0.1343	of the earth according	2.0	0.0896	is the one that flowed	2.0	0.0896	god created the heavens and the	1	0.0448
83	lights	3.0	0.1342	beasts of	3.0	0.1343	the name of	3.0	0.1343	the earth according to	2.0	0.0896	the one that flowed around	2.0	0.0896	created the heavens and the earth	1	0.0448
84	days	3.0	0.1342	that creeps	3.0	0.1343	name of the	3.0	0.1343	earth according to their	2.0	0.0896	one that flowed around the	2.0	0.0896	the heavens and the earth 2	1	0.0448
85	15	3.0	0.1342	creeps on	3.0	0.1343	river is the	3.0	0.1343	everything that creeps on	2.0	0.0896	that flowed around the whole	2.0	0.0896	heavens and the earth 2 the	1	0.0448
86	16	3.0	0.1342	the birds	3.0	0.1343	the garden of	3.0	0.1343	have dominion over the	2.0	0.0896	flowed around the whole land	2.0	0.0896	and the earth 2 the earth	1	0.0448
87	17	3.0	0.1342	birds of	3.0	0.1343	garden of eden	3.0	0.1343	dominion over the fish	2.0	0.0896	around the whole land of	2.0	0.0896	the earth 2 the earth was	1	0.0448
88	18	3.0	0.1342	every tree	3.0	0.1343	you shall not	3.0	0.1343	over the fish of	2.0	0.0896	the garden of eden to	2.0	0.0896	earth 2 the earth was without	1	0.0448
89	19	3.0	0.1342	to every	3.0	0.1343	to the man	3.0	0.1343	the fish of the	2.0	0.0896	garden of eden to work	2.0	0.0896	2 the earth was without form	1	0.0448
90	20	3.0	0.1342	every beast	3.0	0.1343	not eat of	3.0	0.1343	fish of the sea	2.0	0.0896	every beast of the field	2.0	0.0896	the earth was without form and	1	0.0448
91	creatures	3.0	0.1342	his work	3.0	0.1343	fruit of the	3.0	0.1343	of the sea and	2.0	0.0896	that the lord god had	2.0	0.0896	earth was without form and void	1	0.0448
92	21	3.0	0.1342	work that	3.0	0.1343	eat of it	3.0	0.1343	the sea and over	2.0	0.0896	and the man and his	2.0	0.0896	was without form and void and	1	0.0448
93	sea	3.0	0.1342	had done	3.0	0.1343	the creation of	2.0	0.0896	sea and over the	2.0	0.0896	the man and his wife	2.0	0.0896	without form and void and darkness	1	0.0448
94	creature	3.0	0.1342	the land	3.0	0.1343	god created the	2.0	0.0896	and over the birds	2.0	0.0896	eat of the fruit of	2.0	0.0896	form and void and darkness was	1	0.0448
95	bird	3.0	0.1342	to work	3.0	0.1343	over the face	2.0	0.0896	over the birds of	2.0	0.0896	of the fruit of the	2.0	0.0896	and void and darkness was over	1	0.0448
96	22	3.0	0.1342	the whole	3.0	0.1343	of the waters	2.0	0.0896	the heavens and over	2.0	0.0896	you shall not eat of	2.0	0.0896	void and darkness was over the	1	0.0448
97	blessed	3.0	0.1342	garden and	3.0	0.1343	saw that the	2.0	0.0896	all the earth and	2.0	0.0896	eaten of the tree of	2.0	0.0896	and darkness was over the face	1	0.0448
98	23	3.0	0.1342	eden to	3.0	0.1343	the light from	2.0	0.0896	creeps on the earth	2.0	0.0896	of the tree of which	2.0	0.0896	darkness was over the face of	1	0.0448
99	24	3.0	0.1342	the name	3.0	0.1343	light from the	2.0	0.0896	and to every beast	2.0	0.0896	the tree of which i	2.0	0.0896	was over the face of the	1	0.0448
100	bring	3.0	0.1342	name of	3.0	0.1343	from the darkness	2.0	0.0896	to every beast of	2.0	0.0896	tree of which i commanded	2.0	0.0896	over the face of the deep	1	0.0448
101	beasts	3.0	0.1342	river is	3.0	0.1343	from the waters	2.0	0.0896	every bird of the	2.0	0.0896	of which i commanded you	2.0	0.0896	the face of the deep and	1	0.0448
102	creeps	3.0	0.1342	garden of	3.0	0.1343	the expanse and	2.0	0.0896	bird of the heavens	2.0	0.0896	the lord god said to	2.0	0.0896	face of the deep and the	1	0.0448
103	make	3.0	0.1342	naked and	3.0	0.1343	let the waters	2.0	0.0896	the heavens and to	2.0	0.0896	lord god said to the	2.0	0.0896	of the deep and the spirit	1	0.0448
104	image	3.0	0.1342	fruit of	3.0	0.1343	the dry land	2.0	0.0896	the breath of life	2.0	0.0896	all the days of your	2.0	0.0896	the deep and the spirit of	1	0.0448
105	behold	3.0	0.1342	the creation	2.0	0.0895	let the earth	2.0	0.0896	the seventh day god	2.0	0.0896	the days of your life	2.0	0.0896	deep and the spirit of god	1	0.0448
106	plant	3.0	0.1342	creation of	2.0	0.0895	trees bearing fruit	2.0	0.0896	on the seventh day	2.0	0.0896	the creation of the world	1.0	0.0448	and the spirit of god was	1	0.0448
107	whole	3.0	0.1342	created the	2.0	0.0895	bearing fruit in	2.0	0.0896	from all his work	2.0	0.0896	creation of the world 1	1.0	0.0448	the spirit of god was hovering	1	0.0448
108	formed	3.0	0.1342	of god	2.0	0.0895	fruit in which	2.0	0.0896	all his work that	2.0	0.0896	of the world 1 in	1.0	0.0448	spirit of god was hovering over	1	0.0448
109	east	3.0	0.1342	separated the	2.0	0.0895	is their seed	2.0	0.0896	in the day that	2.0	0.0896	the world 1 in the	1.0	0.0448	of god was hovering over the	1	0.0448
110	put	3.0	0.1342	light from	2.0	0.0895	their seed each	2.0	0.0896	to work the ground	2.0	0.0896	world 1 in the beginning	1.0	0.0448	god was hovering over the face	1	0.0448
111	flowed	3.0	0.1342	he called	2.0	0.0895	seed each according	2.0	0.0896	out of the ground	2.0	0.0896	1 in the beginning god	1.0	0.0448	was hovering over the face of	1	0.0448
112	took	3.0	0.1342	the first	2.0	0.0895	each according to	2.0	0.0896	of the ground the	2.0	0.0896	in the beginning god created	1.0	0.0448	hovering over the face of the	1	0.0448
113	commanded	3.0	0.1342	6 and	2.0	0.0895	earth and it	2.0	0.0896	the ground the lord	2.0	0.0896	the beginning god created the	1.0	0.0448	over the face of the waters	1	0.0448
114	die	3.0	0.1342	expanse and	2.0	0.0895	be lights in	2.0	0.0896	ground the lord god	2.0	0.0896	beginning god created the heavens	1.0	0.0448	the face of the waters 3	1	0.0448
115	adam	3.0	0.1342	the second	2.0	0.0895	lights in the	2.0	0.0896	midst of the garden	2.0	0.0896	god created the heavens and	1.0	0.0448	face of the waters 3 and	1	0.0448
116	eyes	3.0	0.1342	9 and	2.0	0.0895	to separate the	2.0	0.0896	the tree of the	2.0	0.0896	created the heavens and the	1.0	0.0448	of the waters 3 and god	1	0.0448
117	pain	3.0	0.1342	gathered together	2.0	0.0895	let them be	2.0	0.0896	tree of the knowledge	2.0	0.0896	heavens and the earth 2	1.0	0.0448	the waters 3 and god said	1	0.0448
118	deep	2.0	0.0895	the dry	2.0	0.0895	heavens to give	2.0	0.0896	of the knowledge of	2.0	0.0896	and the earth 2 the	1.0	0.0448	waters 3 and god said let	1	0.0448
119	separated	2.0	0.0895	dry land	2.0	0.0895	to give light	2.0	0.0896	the knowledge of good	2.0	0.0896	the earth 2 the earth	1.0	0.0448	3 and god said let there	1	0.0448
120	first	2.0	0.0895	seas and	2.0	0.0895	light to rule	2.0	0.0896	knowledge of good and	2.0	0.0896	earth 2 the earth was	1.0	0.0448	god said let there be light	1	0.0448
121	second	2.0	0.0895	vegetation plants	2.0	0.0895	to rule the	2.0	0.0896	of good and evil	2.0	0.0896	2 the earth was without	1.0	0.0448	said let there be light and	1	0.0448
122	gathered	2.0	0.0895	trees bearing	2.0	0.0895	the waters swarm	2.0	0.0896	it is the one	2.0	0.0896	the earth was without form	1.0	0.0448	let there be light and there	1	0.0448
123	place	2.0	0.0895	bearing fruit	2.0	0.0895	and let birds	2.0	0.0896	is the one that	2.0	0.0896	earth was without form and	1.0	0.0448	there be light and there was	1	0.0448
124	dry	2.0	0.0895	fruit in	2.0	0.0895	so god created	2.0	0.0896	the one that flowed	2.0	0.0896	was without form and void	1.0	0.0448	be light and there was light	1	0.0448
125	seas	2.0	0.0895	their seed	2.0	0.0895	every living creature	2.0	0.0896	one that flowed around	2.0	0.0896	without form and void and	1.0	0.0448	light and there was light 4	1	0.0448
126	vegetation	2.0	0.0895	seed each	2.0	0.0895	living creature that	2.0	0.0896	that flowed around the	2.0	0.0896	form and void and darkness	1.0	0.0448	and there was light 4 and	1	0.0448
127	bearing	2.0	0.0895	each according	2.0	0.0895	and god blessed	2.0	0.0896	flowed around the whole	2.0	0.0896	and void and darkness was	1.0	0.0448	there was light 4 and god	1	0.0448
128	third	2.0	0.0895	12 the	2.0	0.0895	god blessed them	2.0	0.0896	around the whole land	2.0	0.0896	void and darkness was over	1.0	0.0448	was light 4 and god saw	1	0.0448
129	give	2.0	0.0895	the third	2.0	0.0895	be fruitful and	2.0	0.0896	the whole land of	2.0	0.0896	and darkness was over the	1.0	0.0448	light 4 and god saw that	1	0.0448
130	upon	2.0	0.0895	14 and	2.0	0.0895	fruitful and multiply	2.0	0.0896	garden of eden to	2.0	0.0896	darkness was over the face	1.0	0.0448	4 and god saw that the	1	0.0448
131	great	2.0	0.0895	be lights	2.0	0.0895	and multiply and	2.0	0.0896	of eden to work	2.0	0.0896	was over the face of	1.0	0.0448	and god saw that the light	1	0.0448
132	fourth	2.0	0.0895	lights in	2.0	0.0895	multiply and fill	2.0	0.0896	a helper fit for	2.0	0.0896	the face of the deep	1.0	0.0448	god saw that the light was	1	0.0448
133	swarm	2.0	0.0895	to separate	2.0	0.0895	and fill the	2.0	0.0896	and the man and	2.0	0.0896	face of the deep and	1.0	0.0448	saw that the light was good	1	0.0448
134	moves	2.0	0.0895	day from	2.0	0.0895	the earth according	2.0	0.0896	the man and his	2.0	0.0896	of the deep and the	1.0	0.0448	that the light was good and	1	0.0448
135	saying	2.0	0.0895	to give	2.0	0.0895	earth according to	2.0	0.0896	man and his wife	2.0	0.0896	the deep and the spirit	1.0	0.0448	the light was good and god	1	0.0448
136	fruitful	2.0	0.0895	give light	2.0	0.0895	everything that creeps	2.0	0.0896	said to the serpent	2.0	0.0896	deep and the spirit of	1.0	0.0448	light was good and god separated	1	0.0448
137	fill	2.0	0.0895	upon the	2.0	0.0895	have dominion over	2.0	0.0896	eat of the fruit	2.0	0.0896	and the spirit of god	1.0	0.0448	was good and god separated the	1	0.0448
138	creeping	2.0	0.0895	16 and	2.0	0.0895	dominion over the	2.0	0.0896	of the fruit of	2.0	0.0896	the spirit of god was	1.0	0.0448	good and god separated the light	1	0.0448
139	25	2.0	0.0895	light to	2.0	0.0895	over the fish	2.0	0.0896	the fruit of the	2.0	0.0896	spirit of god was hovering	1.0	0.0448	and god separated the light from	1	0.0448
140	us	2.0	0.0895	rule the	2.0	0.0895	the fish of	2.0	0.0896	fruit of the tree	2.0	0.0896	of god was hovering over	1.0	0.0448	god separated the light from the	1	0.0448
141	dominion	2.0	0.0895	17 and	2.0	0.0895	fish of the	2.0	0.0896	knowing good and evil	2.0	0.0896	god was hovering over the	1.0	0.0448	separated the light from the darkness	1	0.0448
142	fish	2.0	0.0895	rule over	2.0	0.0895	of the sea	2.0	0.0896	that the tree was	2.0	0.0896	was hovering over the face	1.0	0.0448	the light from the darkness 5	1	0.0448
143	thing	2.0	0.0895	the fourth	2.0	0.0895	the sea and	2.0	0.0896	heard the sound of	2.0	0.0896	hovering over the face of	1.0	0.0448	light from the darkness 5 god	1	0.0448
144	given	2.0	0.0895	waters swarm	2.0	0.0895	sea and over	2.0	0.0896	of the lord god	2.0	0.0896	the face of the waters	1.0	0.0448	from the darkness 5 god called	1	0.0448
145	breath	2.0	0.0895	living creatures	2.0	0.0895	over the birds	2.0	0.0896	eaten of the tree	2.0	0.0896	face of the waters 3	1.0	0.0448	the darkness 5 god called the	1	0.0448
146	finished	2.0	0.0895	creatures and	2.0	0.0895	heavens and over	2.0	0.0896	the tree of which	2.0	0.0896	of the waters 3 and	1.0	0.0448	darkness 5 god called the light	1	0.0448
147	rested	2.0	0.0895	let birds	2.0	0.0895	all the earth	2.0	0.0896	tree of which i	2.0	0.0896	the waters 3 and god	1.0	0.0448	5 god called the light day	1	0.0448
148	yet	2.0	0.0895	21 so	2.0	0.0895	and over every	2.0	0.0896	of which i commanded	2.0	0.0896	waters 3 and god said	1.0	0.0448	god called the light day and	1	0.0448
149	caused	2.0	0.0895	creature that	2.0	0.0895	god said behold	2.0	0.0896	which i commanded you	2.0	0.0896	3 and god said let	1.0	0.0448	called the light day and the	1	0.0448
150	became	2.0	0.0895	that moves	2.0	0.0895	i have given	2.0	0.0896	lord god said to	2.0	0.0896	said let there be light	1.0	0.0448	the light day and the darkness	1	0.0448
151	knowledge	2.0	0.0895	22 and	2.0	0.0895	to every beast	2.0	0.0896	god said to the	2.0	0.0896	let there be light and	1.0	0.0448	light day and the darkness he	1	0.0448
152	around	2.0	0.0895	blessed them	2.0	0.0895	every bird of	2.0	0.0896	all the days of	2.0	0.0896	there be light and there	1.0	0.0448	day and the darkness he called	1	0.0448
153	gold	2.0	0.0895	be fruitful	2.0	0.0895	bird of the	2.0	0.0896	the days of your	2.0	0.0896	be light and there was	1.0	0.0448	and the darkness he called night	1	0.0448
154	may	2.0	0.0895	fruitful and	2.0	0.0895	heavens and to	2.0	0.0896	days of your life	2.0	0.0896	light and there was light	1.0	0.0448	the darkness he called night and	1	0.0448
