	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
21	given	19.0	0.1704	may be	13.0	0.1166	heavens and the	7.0	0.0628	have nothing to fear	5.0	0.0448	god is not unaware of	4.0	0.0359	have their reward with their lord	3	0.0269
22	come	18.0	0.1614	but god	12.0	0.1076	and recall that	7.0	0.0628	nothing to fear nor	5.0	0.0448	is not unaware of what	4.0	0.0359	their reward with their lord they	3	0.0269
23	towards	16.0	0.1435	the fire	12.0	0.1076	from your lord	7.0	0.0628	fear nor shall they	5.0	0.0448	on the day of resurrection	4.0	0.0359	their lord they have nothing to	3	0.0269
24	believed	15.0	0.1345	the truth	12.0	0.1076	god and the	7.0	0.0628	nor shall they grieve	5.0	0.0448	you so that you may	4.0	0.0359	they said call upon your lord	3	0.0269
25	fire	15.0	0.1345	the scripture	12.0	0.1076	god is aware	7.0	0.0628	and recall that we	5.0	0.0448	fight in the cause of	4.0	0.0359	said call upon your lord to	3	0.0269
26	truth	15.0	0.1345	lord and	12.0	0.1076	god is forgiving	7.0	0.0628	that you may be	5.0	0.0448	of god and know that	4.0	0.0359	call upon your lord to show	3	0.0269
27	abraham	15.0	0.1345	and recall	12.0	0.1076	is forgiving and	7.0	0.0628	god is seeing of	5.0	0.0448	you commit no error by	4.0	0.0359	upon your lord to show us	3	0.0269
28	life	14.0	0.1255	our lord	12.0	0.1076	ask you about	7.0	0.0628	is forgiving and merciful	5.0	0.0448	there is no blame on	4.0	0.0359	he said he says she is	3	0.0269
29	remember	14.0	0.1255	from god	11.0	0.0986	they ask you	7.0	0.0628	commit no error by	5.0	0.0448	those who spend their wealth	4.0	0.0359	said he says she is a	3	0.0269
30	better	14.0	0.1255	he wills	11.0	0.0986	god and know	7.0	0.0628	when it is said	4.0	0.0359	and in what was revealed	3.0	0.0269	is not unaware of what you	3	0.0269
31	book	13.0	0.1166	and know	11.0	0.0986	from their lord	6.0	0.0538	it is said to	4.0	0.0359	those who believe and do	3.0	0.0269	not unaware of what you do	3	0.0269
32	guided	13.0	0.1166	their lord	10.0	0.0897	those who disbelieve	6.0	0.0538	is said to them	4.0	0.0359	what you do not know	3.0	0.0269	those who were given the book	3	0.0269
33	charity	13.0	0.1166	among the	10.0	0.0897	he said i	6.0	0.0538	those who believe and	4.0	0.0359	heavens and the earth and	3.0	0.0269	god is seeing of everything you	3	0.0269
34	scripture	13.0	0.1166	come to	10.0	0.0897	children of israel	6.0	0.0538	of the heavens and	4.0	0.0359	these are the inmates of	3.0	0.0269	is seeing of everything you do	3	0.0269
35	moses	13.0	0.1166	and give	9.0	0.0807	and the last	6.0	0.0538	to fear nor shall	4.0	0.0359	of the fire wherein they	3.0	0.0269	them on the day of resurrection	3	0.0269
36	clear	13.0	0.1166	say we	9.0	0.0807	we have given	6.0	0.0538	are the inmates of	4.0	0.0359	the fire wherein they will	3.0	0.0269	you will not be questioned about	3	0.0269
37	follow	13.0	0.1166	the disbelievers	9.0	0.0807	in the hereafter	6.0	0.0538	the inmates of the	4.0	0.0359	o children of israel remember	3.0	0.0269	believes in god and the last	3	0.0269
38	merciful	12.0	0.1076	god does	9.0	0.0807	whom he wills	6.0	0.0538	inmates of the fire	4.0	0.0359	children of israel remember my	3.0	0.0269	turn your face towards the sacred	3	0.0269
39	righteous	12.0	0.1076	heavens and	9.0	0.0807	in the cause	6.0	0.0538	lord they have nothing	4.0	0.0359	which i bestowed upon you	3.0	0.0269	your face towards the sacred mosque	3	0.0269
40	guidance	12.0	0.1076	his lord	9.0	0.0807	the cause of	6.0	0.0538	god is not unaware	4.0	0.0359	i bestowed upon you and	3.0	0.0269	then there is no blame on	3	0.0269
41	like	12.0	0.1076	god knows	9.0	0.0807	cause of god	6.0	0.0538	is not unaware of	4.0	0.0359	so that you may be	3.0	0.0269	believe in what was revealed to	2	0.0179
42	everything	12.0	0.1076	was revealed	8.0	0.0717	no error by	6.0	0.0538	not unaware of what	4.0	0.0359	believe in god and the	3.0	0.0269	from their lord these are the	2	0.0179
43	recall	12.0	0.1076	revealed to	8.0	0.0717	charity you give	6.0	0.0538	on the day of	4.0	0.0359	will have their reward with	3.0	0.0269	among the people are those who	2	0.0179
44	let	12.0	0.1076	the hereafter	8.0	0.0717	god s limits	6.0	0.0538	the day of resurrection	4.0	0.0359	have their reward with their	3.0	0.0269	say we believe in god and	2	0.0179
45	provided	11.0	0.0986	on earth	8.0	0.0717	was revealed to	5.0	0.0448	those who were given	4.0	0.0359	their reward with their lord	3.0	0.0269	we believe in god and in	2	0.0179
46	away	11.0	0.0986	what god	8.0	0.0717	say we believe	5.0	0.0448	he wills god is	4.0	0.0359	reward with their lord they	3.0	0.0269	they will have a painful punishment	2	0.0179
47	another	11.0	0.0986	is aware	8.0	0.0717	believe in god	5.0	0.0448	fight in the cause	4.0	0.0359	their lord they have nothing	3.0	0.0269	it is said to them believe	2	0.0179
48	nothing	11.0	0.0986	aware of	8.0	0.0717	they have nothing	5.0	0.0448	of god and know	4.0	0.0359	what we have given you	3.0	0.0269	and when they come across those	2	0.0179
49	women	11.0	0.0986	the heavens	8.0	0.0717	have nothing to	5.0	0.0448	you commit no error	4.0	0.0359	they said call upon your	3.0	0.0269	when they come across those who	2	0.0179
50	unless	11.0	0.0986	we said	8.0	0.0717	nothing to fear	5.0	0.0448	there is no blame	4.0	0.0359	said call upon your lord	3.0	0.0269	they come across those who believe	2	0.0179
51	thus	11.0	0.0986	except for	8.0	0.0717	to fear nor	5.0	0.0448	is no blame on	4.0	0.0359	call upon your lord to	3.0	0.0269	come across those who believe they	2	0.0179
52	wills	11.0	0.0986	the wrongdoers	8.0	0.0717	fear nor shall	5.0	0.0448	those who spend their	4.0	0.0359	upon your lord to show	3.0	0.0269	across those who believe they say	2	0.0179
53	turn	11.0	0.0986	towards the	8.0	0.0717	nor shall they	5.0	0.0448	who spend their wealth	4.0	0.0359	your lord to show us	3.0	0.0269	those who believe they say we	2	0.0179
54	ask	11.0	0.0986	the sacred	8.0	0.0717	shall they grieve	5.0	0.0448	we have provided for	3.0	0.0269	he said he says she	3.0	0.0269	who believe they say we believe	2	0.0179
55	fight	11.0	0.0986	but whoever	8.0	0.0717	the inmates of	5.0	0.0448	say we believe in	3.0	0.0269	said he says she is	3.0	0.0269	believe they say we believe but	2	0.0179
56	aware	10.0	0.0897	ask you	8.0	0.0717	recall that we	5.0	0.0448	will have a painful	3.0	0.0269	he says she is a	3.0	0.0269	they say we believe but when	2	0.0179
57	make	10.0	0.0897	you give	8.0	0.0717	the scripture and	5.0	0.0448	those who believe they	3.0	0.0269	not unaware of what you	3.0	0.0269	say we believe but when they	2	0.0179
58	call	10.0	0.0897	the righteous	7.0	0.0628	and recall when	5.0	0.0448	they say we believe	3.0	0.0269	unaware of what you do	3.0	0.0269	had god willed he could have	2	0.0179
59	things	10.0	0.0897	the last	7.0	0.0628	god is not	5.0	0.0448	god is capable of	3.0	0.0269	we made a covenant with	3.0	0.0269	those before you that you may	2	0.0179
60	angels	10.0	0.0897	last day	7.0	0.0628	and they say	5.0	0.0448	you that you may	3.0	0.0269	except for a few of	3.0	0.0269	those who believe and do righteous	2	0.0179
61	cause	10.0	0.0897	have believed	7.0	0.0628	god is seeing	5.0	0.0448	give good news to	3.0	0.0269	those who were given the	3.0	0.0269	who believe and do righteous deeds	2	0.0179
62	even	10.0	0.0897	of everything	7.0	0.0628	is seeing of	5.0	0.0448	who believe and do	3.0	0.0269	who were given the book	3.0	0.0269	know that it is the truth	2	0.0179
63	whatever	10.0	0.0897	the angels	7.0	0.0628	have earned and	5.0	0.0448	it is the truth	3.0	0.0269	god is seeing of everything	3.0	0.0269	that it is the truth from	2	0.0179
64	knows	10.0	0.0897	one another	7.0	0.0628	the sacred mosque	5.0	0.0448	is the truth from	3.0	0.0269	is seeing of everything you	3.0	0.0269	it is the truth from their	2	0.0179
65	messenger	10.0	0.0897	recall that	7.0	0.0628	forgiving and merciful	5.0	0.0448	you will be returned	3.0	0.0269	seeing of everything you do	3.0	0.0269	is the truth from their lord	2	0.0179
66	punishment	9.0	0.0807	have given	7.0	0.0628	commit no error	5.0	0.0448	and the earth and	3.0	0.0269	them on the day of	3.0	0.0269	but as for those who disbelieve	2	0.0179
67	death	9.0	0.0807	us and	7.0	0.0628	believe in what	4.0	0.0359	these are the inmates	3.0	0.0269	the east and the west	3.0	0.0269	to him you will be returned	2	0.0179
68	disbelievers	9.0	0.0807	among you	7.0	0.0628	it is said	4.0	0.0359	of the fire wherein	3.0	0.0269	everything in the heavens and	3.0	0.0269	heavens and the earth and that	2	0.0179
69	made	9.0	0.0807	god will	7.0	0.0628	is said to	4.0	0.0359	the fire wherein they	3.0	0.0269	you will not be questioned	3.0	0.0269	the inmates of the fire wherein	2	0.0179
70	turned	9.0	0.0807	is forgiving	7.0	0.0628	had god willed	4.0	0.0359	fire wherein they will	3.0	0.0269	will not be questioned about	3.0	0.0269	inmates of the fire wherein they	2	0.0179
71	heavens	9.0	0.0807	forgiving and	7.0	0.0628	who believe and	4.0	0.0359	o children of israel	3.0	0.0269	believes in god and the	3.0	0.0269	i bestowed upon you and that	2	0.0179
72	wrongdoers	9.0	0.0807	they ask	7.0	0.0628	is the truth	4.0	0.0359	children of israel remember	3.0	0.0269	turn your face towards the	3.0	0.0269	bestowed upon you and that i	2	0.0179
73	children	9.0	0.0807	the hajj	7.0	0.0628	the angels and	4.0	0.0359	of israel remember my	3.0	0.0269	your face towards the sacred	3.0	0.0269	and beware of a day when	2	0.0179
74	revelations	9.0	0.0807	shall be	7.0	0.0628	of the heavens	4.0	0.0359	which i bestowed upon	3.0	0.0269	face towards the sacred mosque	3.0	0.0269	beware of a day when no	2	0.0179
75	wrong	9.0	0.0807	who disbelieve	6.0	0.0538	the earth and	4.0	0.0359	i bestowed upon you	3.0	0.0269	the parable of those who	3.0	0.0269	of a day when no soul	2	0.0179
76	take	9.0	0.0807	we believe	6.0	0.0538	are the inmates	4.0	0.0359	bestowed upon you and	3.0	0.0269	among the people is he	3.0	0.0269	a day when no soul will	2	0.0179
77	part	9.0	0.0807	and god	6.0	0.0538	inmates of the	4.0	0.0359	upon you and that	3.0	0.0269	and they ask you about	3.0	0.0269	day when no soul will avail	2	0.0179
78	commits	9.0	0.0807	good news	6.0	0.0538	wherein they will	4.0	0.0359	of repentance the merciful	3.0	0.0269	god is mighty and wise	3.0	0.0269	when no soul will avail another	2	0.0179
79	wealth	9.0	0.0807	given the	6.0	0.0538	upon you and	4.0	0.0359	of the good things	3.0	0.0269	god is hearing and knowing	3.0	0.0269	we gave moses the scripture and	2	0.0179
80	hereafter	8.0	0.0717	all things	6.0	0.0538	the people of	4.0	0.0359	will have their reward	3.0	0.0269	then there is no blame	3.0	0.0269	eat of the good things we	2	0.0179
81	disbelieve	8.0	0.0717	said i	6.0	0.0538	your lord to	4.0	0.0359	have their reward with	3.0	0.0269	they have reached their term	3.0	0.0269	of the good things we have	2	0.0179
82	believers	8.0	0.0717	angels and	6.0	0.0538	their lord they	4.0	0.0359	their reward with their	3.0	0.0269	believe in what was revealed	2.0	0.0179	the good things we have provided	2	0.0179
83	error	8.0	0.0717	earth and	6.0	0.0538	lord they have	4.0	0.0359	reward with their lord	3.0	0.0269	from their lord these are	2.0	0.0179	good things we have provided for	2	0.0179
84	whenever	8.0	0.0717	one of	6.0	0.0538	is not unaware	4.0	0.0359	with their lord they	3.0	0.0269	their lord these are the	2.0	0.0179	things we have provided for you	2	0.0179
85	forever	8.0	0.0717	fear nor	6.0	0.0538	not unaware of	4.0	0.0359	their lord they have	3.0	0.0269	among the people are those	2.0	0.0179	god and the last day and	2	0.0179
86	commit	8.0	0.0717	nor shall	6.0	0.0538	unaware of what	4.0	0.0359	what we have given	3.0	0.0269	the people are those who	2.0	0.0179	reward with their lord they have	2	0.0179
87	conceal	8.0	0.0717	they grieve	6.0	0.0538	that they may	4.0	0.0359	we have given you	3.0	0.0269	say we believe in god	2.0	0.0179	with their lord they have nothing	2	0.0179
88	approach	8.0	0.0717	children of	6.0	0.0538	except for a	4.0	0.0359	they said call upon	3.0	0.0269	we believe in god and	2.0	0.0179	you and raised the mount above	2	0.0179
89	signs	8.0	0.0717	of israel	6.0	0.0538	come to you	4.0	0.0359	said call upon your	3.0	0.0269	believe in god and in	2.0	0.0179	and raised the mount above you	2	0.0179
90	sent	8.0	0.0717	a day	6.0	0.0538	on the day	4.0	0.0359	call upon your lord	3.0	0.0269	they will have a painful	2.0	0.0179	raised the mount above you take	2	0.0179
91	days	8.0	0.0717	people of	6.0	0.0538	the day of	4.0	0.0359	upon your lord to	3.0	0.0269	will have a painful punishment	2.0	0.0179	the mount above you take what	2	0.0179
92	followed	8.0	0.0717	used to	6.0	0.0538	day of resurrection	4.0	0.0359	your lord to show	3.0	0.0269	is said to them believe	2.0	0.0179	mount above you take what we	2	0.0179
93	way	8.0	0.0717	we made	6.0	0.0538	god has revealed	4.0	0.0359	lord to show us	3.0	0.0269	and when they come across	2.0	0.0179	above you take what we have	2	0.0179
94	sacred	8.0	0.0717	with god	6.0	0.0538	who were given	4.0	0.0359	he said he says	3.0	0.0269	when they come across those	2.0	0.0179	you take what we have given	2	0.0179
95	forgiving	8.0	0.0717	this world	6.0	0.0538	given the book	4.0	0.0359	said he says she	3.0	0.0269	they come across those who	2.0	0.0179	take what we have given you	2	0.0179
96	torment	7.0	0.0628	have earned	6.0	0.0538	whomever he wills	4.0	0.0359	he says she is	3.0	0.0269	come across those who believe	2.0	0.0179	your lord to show us which	2	0.0179
97	last	7.0	0.0628	earned and	6.0	0.0538	he wills god	4.0	0.0359	says she is a	3.0	0.0269	across those who believe they	2.0	0.0179	lord to show us which one	2	0.0179
98	worship	7.0	0.0628	wherever you	6.0	0.0538	wills god is	4.0	0.0359	unaware of what you	3.0	0.0269	those who believe they say	2.0	0.0179	he says she is a heifer	2	0.0179
99	witnesses	7.0	0.0628	the cause	6.0	0.0538	in this world	4.0	0.0359	we made a covenant	3.0	0.0269	who believe they say we	2.0	0.0179	says she is a heifer neither	2	0.0179
100	gave	7.0	0.0628	cause of	6.0	0.0538	this world and	4.0	0.0359	made a covenant with	3.0	0.0269	believe they say we believe	2.0	0.0179	god god is not unaware of	2	0.0179
101	taught	7.0	0.0628	no error	6.0	0.0538	believes in god	4.0	0.0359	the children of israel	3.0	0.0269	they say we believe but	2.0	0.0179	about god what you do not	2	0.0179
102	wise	7.0	0.0628	error by	6.0	0.0538	our lord and	4.0	0.0359	except for a few	3.0	0.0269	say we believe but when	2.0	0.0179	god what you do not know	2	0.0179
103	eat	7.0	0.0628	is better	6.0	0.0538	your lord and	4.0	0.0359	what god has revealed	3.0	0.0269	we believe but when they	2.0	0.0179	relatives and orphans and the needy	2	0.0179
104	words	7.0	0.0628	them god	6.0	0.0538	and wherever you	4.0	0.0359	if you are believers	3.0	0.0269	likeness is that of a	2.0	0.0179	and orphans and the needy and	2	0.0179
105	reward	7.0	0.0628	charity you	6.0	0.0538	fight in the	4.0	0.0359	who were given the	3.0	0.0269	had god willed he could	2.0	0.0179	turned away except for a few	2	0.0179
106	knew	7.0	0.0628	fear god	6.0	0.0538	you commit no	4.0	0.0359	were given the book	3.0	0.0269	god willed he could have	2.0	0.0179	away except for a few of	2	0.0179
107	write	7.0	0.0628	and knowing	6.0	0.0538	those who believed	4.0	0.0359	is seeing of everything	3.0	0.0269	god is capable of everything	2.0	0.0179	and we made a covenant with	2	0.0179
108	faith	7.0	0.0628	s limits	6.0	0.0538	is no blame	4.0	0.0359	seeing of everything you	3.0	0.0269	before you that you may	2.0	0.0179	we made a covenant with you	2	0.0179
109	leave	7.0	0.0628	and let	6.0	0.0538	no blame on	4.0	0.0359	of everything you do	3.0	0.0269	down from the sky and	2.0	0.0179	will not be lightened for them	2	0.0179
110	earned	7.0	0.0628	the merciful	5.0	0.0448	those who spend	4.0	0.0359	them on the day	3.0	0.0269	and give good news to	2.0	0.0179	we gave jesus son of mary	2	0.0179
111	direction	7.0	0.0628	hearing and	5.0	0.0448	who spend their	4.0	0.0359	in this world and	3.0	0.0269	who believe and do righteous	2.0	0.0179	gave jesus son of mary the	2	0.0179
112	knowing	7.0	0.0628	the sky	5.0	0.0448	spend their wealth	4.0	0.0359	the east and the	3.0	0.0269	believe and do righteous deeds	2.0	0.0179	jesus son of mary the clear	2	0.0179
113	limits	7.0	0.0628	you know	5.0	0.0448	who believe in	3.0	0.0269	east and the west	3.0	0.0269	as for those who believe	2.0	0.0179	miserable is what they sold their	2	0.0179
114	hajj	7.0	0.0628	people and	5.0	0.0448	we have provided	3.0	0.0269	everything in the heavens	3.0	0.0269	know that it is the	2.0	0.0179	is what they sold their souls	2	0.0179
115	hearts	6.0	0.0538	said o	5.0	0.0448	have provided for	3.0	0.0269	in the heavens and	3.0	0.0269	that it is the truth	2.0	0.0179	what they sold their souls for	2	0.0179
116	hearing	6.0	0.0538	have nothing	5.0	0.0448	revealed to you	3.0	0.0269	will not be questioned	3.0	0.0269	it is the truth from	2.0	0.0179	what god has revealed they say	2	0.0179
117	none	6.0	0.0538	nothing to	5.0	0.0448	we believe in	3.0	0.0269	not be questioned about	3.0	0.0269	is the truth from their	2.0	0.0179	god has revealed they say we	2	0.0179
118	whose	6.0	0.0538	to fear	5.0	0.0448	have a painful	3.0	0.0269	believes in god and	3.0	0.0269	the truth from their lord	2.0	0.0179	in what was revealed to us	2	0.0179
119	news	6.0	0.0538	shall they	5.0	0.0448	have believed in	3.0	0.0269	what they have earned	3.0	0.0269	him you will be returned	2.0	0.0179	what was revealed to us and	2	0.0179
120	bring	6.0	0.0538	the inmates	5.0	0.0448	when they come	3.0	0.0269	you have earned and	3.0	0.0269	and the earth and that	2.0	0.0179	god and his angels and his	2	0.0179
121	satan	6.0	0.0538	inmates of	5.0	0.0448	who believe they	3.0	0.0269	guides whom he wills	3.0	0.0269	for those who disbelieve and	2.0	0.0179	o you who believe do not	2	0.0179
122	become	6.0	0.0538	upon you	5.0	0.0448	from the sky	3.0	0.0269	turn your face towards	3.0	0.0269	inmates of the fire wherein	2.0	0.0179	god has power over all things	2	0.0179
123	yet	6.0	0.0538	we gave	5.0	0.0448	god is capable	3.0	0.0269	your face towards the	3.0	0.0269	seek help through patience and	2.0	0.0179	to god belong the east and	2	0.0179
124	grieve	6.0	0.0538	scripture and	5.0	0.0448	is capable of	3.0	0.0269	face towards the sacred	3.0	0.0269	bestowed upon you and that	2.0	0.0179	god belong the east and the	2	0.0179
125	israel	6.0	0.0538	among them	5.0	0.0448	the sky and	3.0	0.0269	towards the sacred mosque	3.0	0.0269	upon you and that i	2.0	0.0179	belong the east and the west	2	0.0179
126	understand	6.0	0.0538	recall when	5.0	0.0448	while you know	3.0	0.0269	the sacred mosque and	3.0	0.0269	and beware of a day	2.0	0.0179	everything in the heavens and the	2	0.0179
127	prayer	6.0	0.0538	lord to	5.0	0.0448	we have revealed	3.0	0.0269	wherever you may be	3.0	0.0269	beware of a day when	2.0	0.0179	in the heavens and the earth	2	0.0179
128	soul	6.0	0.0538	lord they	5.0	0.0448	give good news	3.0	0.0269	from your lord and	3.0	0.0269	of a day when no	2.0	0.0179	bringing good news and giving warnings	2	0.0179
129	repentance	6.0	0.0538	for god	5.0	0.0448	good news to	3.0	0.0269	god is with the	3.0	0.0269	a day when no soul	2.0	0.0179	follow their desires after the knowledge	2	0.0179
130	used	6.0	0.0538	to us	5.0	0.0448	believe and do	3.0	0.0269	the parable of those	3.0	0.0269	day when no soul will	2.0	0.0179	their desires after the knowledge that	2	0.0179
131	souls	6.0	0.0538	part of	5.0	0.0448	they will abide	3.0	0.0269	parable of those who	3.0	0.0269	when no soul will avail	2.0	0.0179	desires after the knowledge that has	2	0.0179
132	enter	6.0	0.0538	life and	5.0	0.0448	the truth from	3.0	0.0269	a duty upon the	3.0	0.0269	no soul will avail another	2.0	0.0179	after the knowledge that has come	2	0.0179
133	cannot	6.0	0.0538	god god	5.0	0.0448	will be returned	3.0	0.0269	among the people is	3.0	0.0269	nor will they be helped	2.0	0.0179	the knowledge that has come to	2	0.0179
134	christians	6.0	0.0538	upon the	5.0	0.0448	to the angels	3.0	0.0269	the people is he	3.0	0.0269	we gave moses the scripture	2.0	0.0179	knowledge that has come to you	2	0.0179
135	mercy	6.0	0.0538	whomever he	5.0	0.0448	one of the	3.0	0.0269	whatever charity you give	3.0	0.0269	gave moses the scripture and	2.0	0.0179	that has come to you you	2	0.0179
136	show	6.0	0.0538	is seeing	5.0	0.0448	of the disbelievers	3.0	0.0269	and they ask you	3.0	0.0269	that you may be guided	2.0	0.0179	those to whom we have given	2	0.0179
137	says	6.0	0.0538	seeing of	5.0	0.0448	do not approach	3.0	0.0269	god is mighty and	3.0	0.0269	moses said to his people	2.0	0.0179	to whom we have given the	2	0.0179
138	neither	6.0	0.0538	turn your	5.0	0.0448	from his lord	3.0	0.0269	is mighty and wise	3.0	0.0269	you said o moses we	2.0	0.0179	but as for those who reject	2	0.0179
139	others	6.0	0.0538	sacred mosque	5.0	0.0448	the fire wherein	3.0	0.0269	god is hearing and	3.0	0.0269	eat of the good things	2.0	0.0179	the acceptor of repentance the merciful	2	0.0179
140	homes	6.0	0.0538	commits no	5.0	0.0448	fire wherein they	3.0	0.0269	is hearing and knowing	3.0	0.0269	of the good things we	2.0	0.0179	that was a community that has	2	0.0179
141	messengers	6.0	0.0538	god but	5.0	0.0448	o children of	3.0	0.0269	maintain god s limits	3.0	0.0269	the good things we have	2.0	0.0179	was a community that has passed	2	0.0179
142	love	6.0	0.0538	and merciful	5.0	0.0448	of israel remember	3.0	0.0269	these are god s	3.0	0.0269	good things we have provided	2.0	0.0179	them is what they have earned	2	0.0179
143	two	6.0	0.0538	unless they	5.0	0.0448	israel remember my	3.0	0.0269	they have reached their	3.0	0.0269	things we have provided for	2.0	0.0179	is what they have earned and	2	0.0179
144	means	6.0	0.0538	commit no	5.0	0.0448	which i bestowed	3.0	0.0269	have reached their term	3.0	0.0269	we have provided for you	2.0	0.0179	you is what you have earned	2	0.0179
145	world	6.0	0.0538	remember god	5.0	0.0448	i bestowed upon	3.0	0.0269	have you not considered	3.0	0.0269	and the last day and	2.0	0.0179	is what you have earned and	2	0.0179
146	humanity	6.0	0.0538	and wise	5.0	0.0448	bestowed upon you	3.0	0.0269	any charity you give	3.0	0.0269	with their lord they have	2.0	0.0179	what you have earned and you	2	0.0179
147	community	6.0	0.0538	you like	5.0	0.0448	of a day	3.0	0.0269	our lord do not	3.0	0.0269	you and raised the mount	2.0	0.0179	you have earned and you will	2	0.0179
148	wisdom	6.0	0.0538	you god	5.0	0.0448	a day when	3.0	0.0269	those who believe in	2.0	0.0179	and raised the mount above	2.0	0.0179	have earned and you will not	2	0.0179
149	religion	6.0	0.0538	perform the	4.0	0.0359	said to his	3.0	0.0269	perform the prayers and	2.0	0.0179	raised the mount above you	2.0	0.0179	earned and you will not be	2	0.0179
150	die	6.0	0.0538	prayers and	4.0	0.0359	better for you	3.0	0.0269	and those who believe	2.0	0.0179	the mount above you take	2.0	0.0179	and you will not be questioned	2	0.0179
151	face	6.0	0.0538	provided for	4.0	0.0359	of repentance the	3.0	0.0269	believe in what was	2.0	0.0179	mount above you take what	2.0	0.0179	will not be questioned about what	2	0.0179
152	mosque	6.0	0.0538	not believe	4.0	0.0359	repentance the merciful	3.0	0.0269	from their lord these	2.0	0.0179	above you take what we	2.0	0.0179	not be questioned about what they	2	0.0179
153	wherever	6.0	0.0538	their hearts	4.0	0.0359	of the good	3.0	0.0269	their lord these are	2.0	0.0179	you take what we have	2.0	0.0179	be questioned about what they used	2	0.0179
154	forgiveness	6.0	0.0538	believe but	4.0	0.0359	the good things	3.0	0.0269	lord these are the	2.0	0.0179	take what we have given	2.0	0.0179	questioned about what they used to	2	0.0179
