	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
27	house	22.0	0.141	the kingdom	14.0	0.0897	priests and the	8.0	0.0513	son of man is	4.0	0.0256	charged them to tell no	3.0	0.0192	are my mother and my brothers	2	0.0128
28	took	22.0	0.141	they said	14.0	0.0897	jesus heals a	7.0	0.0449	the parable of the	4.0	0.0256	them to tell no one	3.0	0.0192	and in his teaching he said	2	0.0128
29	heard	22.0	0.141	the chief	14.0	0.0897	and they went	7.0	0.0449	he began to teach	4.0	0.0256	and the chief priests and	3.0	0.0192	thirtyfold and sixtyfold and a hundredfold	2	0.0128
30	great	22.0	0.141	chief priests	14.0	0.0897	said to the	7.0	0.0449	said to him you	4.0	0.0256	and james and john and	3.0	0.0192	has ears to hear let him	2	0.0128
31	peter	22.0	0.141	the lord	13.0	0.0833	the sea and	7.0	0.0449	he said to her	4.0	0.0256	said to him teacher we	3.0	0.0192	ears to hear let him hear	2	0.0128
32	left	21.0	0.1346	13 and	13.0	0.0833	and they said	7.0	0.0449	peter and james and	4.0	0.0256	i say to you whoever	3.0	0.0192	11 and he said to them	2	0.0128
33	scribes	21.0	0.1346	17 and	13.0	0.0833	the one who	7.0	0.0449	said to them you	4.0	0.0256	it is better for you	3.0	0.0192	he said to them do you	2	0.0128
34	two	21.0	0.1346	one who	13.0	0.0833	john the baptist	6.0	0.0385	and went to the	4.0	0.0256	is better for you to	3.0	0.0192	said to them do you not	2	0.0128
35	kingdom	20.0	0.1282	and went	13.0	0.0833	an unclean spirit	6.0	0.0385	and the chief priests	4.0	0.0256	better for you to enter	3.0	0.0192	21 and he said to them	2	0.0128
36	mother	20.0	0.1282	the pharisees	13.0	0.0833	and he went	6.0	0.0385	and the scribes and	4.0	0.0256	do you want me to	3.0	0.0192	24 and he said to them	2	0.0128
37	lord	19.0	0.1217	truly i	13.0	0.0833	came to him	6.0	0.0385	to enter the kingdom	4.0	0.0256	said to them go into	3.0	0.0192	him and said to him teacher	2	0.0128
38	hand	19.0	0.1217	the temple	13.0	0.0833	went out and	6.0	0.0385	enter the kingdom of	4.0	0.0256	on the first day of	3.0	0.0192	he said to them why are	2	0.0128
39	sea	19.0	0.1217	5 and	12.0	0.0769	and when jesus	6.0	0.0385	the king of the	4.0	0.0256	the kingdom of god is	2.0	0.0128	your faith has made you well	2	0.0128
40	know	19.0	0.1217	they went	12.0	0.0769	gave it to	6.0	0.0385	the beginning of the	3.0	0.0192	james the son of zebedee	2.0	0.0128	to put him to death but	2	0.0128
41	9	18.0	0.1153	26 and	12.0	0.0769	his disciples to	6.0	0.0385	james the son of	3.0	0.0192	the son of zebedee and	2.0	0.0128	the head of john the baptist	2	0.0128
42	days	18.0	0.1153	2 and	12.0	0.0769	he answered them	6.0	0.0385	him jesus heals a	3.0	0.0192	son of zebedee and john	2.0	0.0128	and he began to teach them	2	0.0128
43	boat	18.0	0.1153	a great	12.0	0.0769	into the boat	6.0	0.0385	a man with an	3.0	0.0192	him jesus heals a man	2.0	0.0128	them how many loaves do you	2	0.0128
44	father	18.0	0.1153	the twelve	12.0	0.0769	and he took	6.0	0.0385	man with an unclean	3.0	0.0192	jesus heals a man with	2.0	0.0128	how many loaves do you have	2	0.0128
45	even	18.0	0.1153	he came	11.0	0.0705	went to the	6.0	0.0385	with a loud voice	3.0	0.0192	he entered the synagogue and	2.0	0.0128	disciples to set before the people	2	0.0128
46	made	18.0	0.1153	15 and	11.0	0.0705	it is written	5.0	0.032	by the hand and	3.0	0.0192	and crying out with a	2.0	0.0128	to set before the people and	2	0.0128
47	put	18.0	0.1153	21 and	11.0	0.0705	the holy spirit	5.0	0.032	to a desolate place	3.0	0.0192	crying out with a loud	2.0	0.0128	he got into the boat with	2	0.0128
48	another	18.0	0.1153	the sabbath	11.0	0.0705	in those days	5.0	0.032	a desolate place and	3.0	0.0192	out with a loud voice	2.0	0.0128	do not eat unless they wash	2	0.0128
49	2	17.0	0.1089	came and	11.0	0.0705	13 and he	5.0	0.032	said to them let	3.0	0.0192	by the hand and lifted	2.0	0.0128	to the tradition of the elders	2	0.0128
50	3	17.0	0.1089	the whole	11.0	0.0705	in the boat	5.0	0.032	and when jesus saw	3.0	0.0192	cast out many demons and	2.0	0.0128	6 and he said to them	2	0.0128
51	4	17.0	0.1089	and began	11.0	0.0705	a man with	5.0	0.032	he said to the	3.0	0.0192	to a desolate place and	2.0	0.0128	9 and he said to them	2	0.0128
52	5	17.0	0.1089	the word	11.0	0.0705	on the sabbath	5.0	0.032	and he was teaching	3.0	0.0192	38 and he said to	2.0	0.0128	and when he had entered the	2	0.0128
53	6	17.0	0.1089	12 and	11.0	0.0705	the synagogue and	5.0	0.032	he was teaching them	3.0	0.0192	he said to them let	2.0	0.0128	when he had entered the house	2	0.0128
54	7	17.0	0.1089	16 and	11.0	0.0705	went out to	5.0	0.032	he said to him	3.0	0.0192	said to them let us	2.0	0.0128	did not want anyone to know	2	0.0128
55	8	17.0	0.1089	followed him	10.0	0.0641	and immediately the	5.0	0.032	said to his disciples	3.0	0.0192	to them let us go	2.0	0.0128	he called his disciples to him	2	0.0128
56	10	17.0	0.1089	and john	10.0	0.0641	of the scribes	5.0	0.032	so that they might	3.0	0.0192	said to him if you	2.0	0.0128	called his disciples to him and	2	0.0128
57	11	17.0	0.1089	jesus heals	10.0	0.0641	to say to	5.0	0.032	said to them is	3.0	0.0192	him and sent him away	2.0	0.0128	his disciples to him and said	2	0.0128
58	12	17.0	0.1089	the house	10.0	0.0641	12 and he	5.0	0.032	and a great crowd	3.0	0.0192	him because of the crowd	2.0	0.0128	disciples to him and said to	2	0.0128
59	13	17.0	0.1089	james and	10.0	0.0641	and his disciples	5.0	0.032	fell down before him	3.0	0.0192	he said to the paralytic	2.0	0.0128	the leaven of the pharisees and	2	0.0128
60	14	17.0	0.1089	4 and	10.0	0.0641	with his disciples	5.0	0.032	and he answered them	3.0	0.0192	that the son of man	2.0	0.0128	thousand how many baskets full of	2	0.0128
61	15	17.0	0.1089	8 and	10.0	0.0641	9 and he	5.0	0.032	9 and he said	3.0	0.0192	and he said to him	2.0	0.0128	how many baskets full of broken	2	0.0128
62	16	17.0	0.1089	these things	10.0	0.0641	they went out	5.0	0.032	said to them do	3.0	0.0192	john s disciples and the	2.0	0.0128	many baskets full of broken pieces	2	0.0128
63	20	17.0	0.1089	9 and	10.0	0.0641	on the ground	5.0	0.032	they came to the	3.0	0.0192	came and said to him	2.0	0.0128	baskets full of broken pieces did	2	0.0128
64	enter	17.0	0.1089	john the	9.0	0.0577	the other side	5.0	0.032	his disciples said to	3.0	0.0192	said to him why do	2.0	0.0128	full of broken pieces did you	2	0.0128
65	take	17.0	0.1089	11 and	9.0	0.0577	to him teacher	5.0	0.032	disciples said to him	3.0	0.0192	said to them have you	2.0	0.0128	of broken pieces did you take	2	0.0128
66	eat	17.0	0.1089	18 and	9.0	0.0577	said to her	5.0	0.032	when he had entered	3.0	0.0192	it is not lawful for	2.0	0.0128	broken pieces did you take up	2	0.0128
67	twelve	17.0	0.1089	20 and	9.0	0.0577	and james and	5.0	0.032	laid his hands on	3.0	0.0192	27 and he said to	2.0	0.0128	he said to them if anyone	2	0.0128
68	whoever	17.0	0.1089	unclean spirit	9.0	0.0577	and they took	5.0	0.032	they went out and	3.0	0.0192	he said to them is	2.0	0.0128	said to them if anyone would	2	0.0128
69	hear	17.0	0.1089	22 and	9.0	0.0577	13 and they	5.0	0.032	of john the baptist	3.0	0.0192	with his disciples to the	2.0	0.0128	said to them truly i say	2	0.0128
70	hands	17.0	0.1089	23 and	9.0	0.0577	the pharisees and	5.0	0.032	and gave it to	3.0	0.0192	and a great crowd followed	2.0	0.0128	to them truly i say to	2	0.0128
71	around	16.0	0.1025	27 and	9.0	0.0577	and they brought	5.0	0.032	and he began to	3.0	0.0192	fell down before him and	2.0	0.0128	them truly i say to you	2	0.0128
72	first	16.0	0.1025	34 and	9.0	0.0577	on the way	5.0	0.032	baskets full of broken	3.0	0.0192	he went up on the	2.0	0.0128	truly i say to you there	2	0.0128
73	17	16.0	0.1025	3 and	9.0	0.0577	and went to	5.0	0.032	full of broken pieces	3.0	0.0192	went up on the mountain	2.0	0.0128	took with him peter and james	2	0.0128
74	18	16.0	0.1025	24 and	9.0	0.0577	with one another	5.0	0.032	got into the boat	3.0	0.0192	to whom he gave the	2.0	0.0128	with him peter and james and	2	0.0128
75	19	16.0	0.1025	saying to	9.0	0.0577	one who is	5.0	0.032	to the tradition of	3.0	0.0192	whom he gave the name	2.0	0.0128	him peter and james and john	2	0.0128
76	james	16.0	0.1025	to eat	9.0	0.0577	do not know	5.0	0.032	charged them to tell	3.0	0.0192	and john the brother of	2.0	0.0128	as it is written of him	2	0.0128
77	called	16.0	0.1025	great crowd	9.0	0.0577	the fig tree	5.0	0.032	them to tell no	3.0	0.0192	john the brother of james	2.0	0.0128	he fell on the ground and	2	0.0128
78	truly	16.0	0.1025	one another	9.0	0.0577	the king of	5.0	0.032	to tell no one	3.0	0.0192	for they were saying he	2.0	0.0128	and he said to them this	2	0.0128
79	way	15.0	0.0961	the king	9.0	0.0577	king of the	5.0	0.032	and he asked them	3.0	0.0192	called them to him and	2.0	0.0128	after three days he will rise	2	0.0128
80	heaven	15.0	0.0961	the people	9.0	0.0577	of the jews	5.0	0.032	on the ground and	3.0	0.0192	them to him and said	2.0	0.0128	not against us is for us	2	0.0128
81	21	15.0	0.0961	went to	9.0	0.0577	the beginning of	4.0	0.0256	of the pharisees and	3.0	0.0192	is divided against itself that	2.0	0.0128	causes you to sin cut it	2	0.0128
82	22	15.0	0.0961	the way	8.0	0.0513	into the sea	4.0	0.0256	james and john and	3.0	0.0192	are my mother and my	2.0	0.0128	you to sin cut it off	2	0.0128
83	23	15.0	0.0961	the gospel	8.0	0.0513	and followed him	4.0	0.0256	all things are possible	3.0	0.0192	my mother and my brothers	2.0	0.0128	to sin cut it off it	2	0.0128
84	24	15.0	0.0961	7 and	8.0	0.0513	and immediately he	4.0	0.0256	to him teacher we	3.0	0.0192	and in his teaching he	2.0	0.0128	sin cut it off it is	2	0.0128
85	25	15.0	0.0961	10 and	8.0	0.0513	with an unclean	4.0	0.0256	the one who is	3.0	0.0192	in his teaching he said	2.0	0.0128	cut it off it is better	2	0.0128
86	27	15.0	0.0961	he saw	8.0	0.0513	he entered the	4.0	0.0256	say to you whoever	3.0	0.0192	thirtyfold and sixtyfold and a	2.0	0.0128	it off it is better for	2	0.0128
87	told	15.0	0.0961	19 and	8.0	0.0513	come out of	4.0	0.0256	causes you to sin	3.0	0.0192	and sixtyfold and a hundredfold	2.0	0.0128	off it is better for you	2	0.0128
88	also	15.0	0.0961	entered the	8.0	0.0513	the unclean spirits	4.0	0.0256	it is better for	3.0	0.0192	has ears to hear let	2.0	0.0128	better for you to enter life	2	0.0128
89	sent	15.0	0.0961	35 and	8.0	0.0513	entered the house	4.0	0.0256	is better for you	3.0	0.0192	ears to hear let him	2.0	0.0128	let the children come to me	2	0.0128
90	day	15.0	0.0961	37 and	8.0	0.0513	the house of	4.0	0.0256	better for you to	3.0	0.0192	to hear let him hear	2.0	0.0128	jesus said truly i say to	2	0.0128
91	priests	15.0	0.0961	to say	8.0	0.0513	by the hand	4.0	0.0256	for you to enter	3.0	0.0192	11 and he said to	2.0	0.0128	said truly i say to you	2	0.0128
92	answered	15.0	0.0961	14 and	8.0	0.0513	and the whole	4.0	0.0256	do you want me	3.0	0.0192	said to them do you	2.0	0.0128	and said to him teacher we	2	0.0128
93	like	14.0	0.0897	they saw	8.0	0.0513	a desolate place	4.0	0.0256	you want me to	3.0	0.0192	and these are the ones	2.0	0.0128	what do you want me to	2	0.0128
94	followed	14.0	0.0897	the disciples	8.0	0.0513	he went out	4.0	0.0256	you do not know	3.0	0.0192	21 and he said to	2.0	0.0128	do you want me to do	2	0.0128
95	teaching	14.0	0.0897	25 and	8.0	0.0513	when jesus saw	4.0	0.0256	the mount of olives	3.0	0.0192	24 and he said to	2.0	0.0128	you want me to do for	2	0.0128
96	26	14.0	0.0897	the high	8.0	0.0513	beside the sea	4.0	0.0256	said to them go	3.0	0.0192	with them in the boat	2.0	0.0128	want me to do for you	2	0.0128
97	among	14.0	0.0897	high priest	8.0	0.0513	he was teaching	4.0	0.0256	to them go into	3.0	0.0192	and the wind ceased and	2.0	0.0128	with the baptism with which i	2	0.0128
98	28	14.0	0.0897	disciples to	8.0	0.0513	to his disciples	4.0	0.0256	one of the twelve	3.0	0.0192	and fell down before him	2.0	0.0128	the baptism with which i am	2	0.0128
99	29	14.0	0.0897	mother and	8.0	0.0513	and the disciples	4.0	0.0256	on the first day	3.0	0.0192	15 and they came to	2.0	0.0128	baptism with which i am baptized	2	0.0128
100	30	14.0	0.0897	32 and	8.0	0.0513	of the pharisees	4.0	0.0256	the first day of	3.0	0.0192	34 and he said to	2.0	0.0128	son of david have mercy on	2	0.0128
101	31	14.0	0.0897	he answered	8.0	0.0513	saying to him	4.0	0.0256	of the high priest	3.0	0.0192	your faith has made you	2.0	0.0128	of david have mercy on me	2	0.0128
102	32	14.0	0.0897	he began	8.0	0.0513	high priest and	4.0	0.0256	mary the mother of	3.0	0.0192	faith has made you well	2.0	0.0128	and said to them go into	2	0.0128
103	33	14.0	0.0897	the one	8.0	0.0513	of man is	4.0	0.0256	christ the son of	2.0	0.0128	while he was still speaking	2.0	0.0128	said to them go into the	2	0.0128
104	anyone	14.0	0.0897	went away	8.0	0.0513	that they might	4.0	0.0256	the son of god	2.0	0.0128	the ruler of the synagogue	2.0	0.0128	priests and the scribes and the	2	0.0128
105	pharisees	14.0	0.0897	let the	8.0	0.0513	5 and he	4.0	0.0256	10 and when he	2.0	0.0128	and james and john the	2.0	0.0128	and the scribes and the elders	2	0.0128
106	gave	14.0	0.0897	priests and	8.0	0.0513	and a great	4.0	0.0256	and when he came	2.0	0.0128	and he strictly charged them	2.0	0.0128	tell you by what authority i	2	0.0128
107	death	14.0	0.0897	of jesus	7.0	0.0449	23 and he	4.0	0.0256	and a voice came	2.0	0.0128	to put him to death	2.0	0.0128	you by what authority i do	2	0.0128
108	chief	14.0	0.0897	the holy	7.0	0.0449	and he called	4.0	0.0256	kingdom of god is	2.0	0.0128	put him to death but	2.0	0.0128	by what authority i do these	2	0.0128
109	temple	14.0	0.0897	came up	7.0	0.0449	and he answered	4.0	0.0256	the sea of galilee	2.0	0.0128	the head of john the	2.0	0.0128	what authority i do these things	2	0.0128
110	going	13.0	0.0833	immediately he	7.0	0.0449	the parable of	4.0	0.0256	a little farther he	2.0	0.0128	head of john the baptist	2.0	0.0128	truly i say to you this	2	0.0128
111	galilee	13.0	0.0833	heals a	7.0	0.0449	parable of the	4.0	0.0256	the son of zebedee	2.0	0.0128	and he began to teach	2.0	0.0128	will see the son of man	2	0.0128
112	unclean	13.0	0.0833	the synagogue	7.0	0.0449	began to teach	4.0	0.0256	son of zebedee and	2.0	0.0128	he began to teach them	2.0	0.0128	for you do not know when	2	0.0128
113	34	13.0	0.0833	but jesus	7.0	0.0449	on the sea	4.0	0.0256	of zebedee and john	2.0	0.0128	them how many loaves do	2.0	0.0128	you do not know when the	2	0.0128
114	35	13.0	0.0833	33 and	7.0	0.0449	are the ones	4.0	0.0256	jesus heals a man	2.0	0.0128	how many loaves do you	2.0	0.0128	as they were reclining at table	2	0.0128
115	place	13.0	0.0833	36 and	7.0	0.0449	24 and he	4.0	0.0256	heals a man with	2.0	0.0128	many loaves do you have	2.0	0.0128	they were reclining at table and	2	0.0128
116	may	13.0	0.0833	let us	7.0	0.0449	to one another	4.0	0.0256	on the sabbath he	2.0	0.0128	disciples to set before the	2.0	0.0128	the son of man is betrayed	2	0.0128
117	could	13.0	0.0833	39 and	7.0	0.0449	they began to	4.0	0.0256	he entered the synagogue	2.0	0.0128	to set before the people	2.0	0.0128	before the rooster crows twice you	2	0.0128
118	name	13.0	0.0833	when jesus	7.0	0.0449	he went away	4.0	0.0256	entered the synagogue and	2.0	0.0128	set before the people and	2.0	0.0128	the rooster crows twice you will	2	0.0128
119	believe	12.0	0.0769	sea and	7.0	0.0449	peter and james	4.0	0.0256	and they were astonished	2.0	0.0128	to them and said take	2.0	0.0128	rooster crows twice you will deny	2	0.0128
120	brother	12.0	0.0769	saw that	7.0	0.0449	his hands on	4.0	0.0256	astonished at his teaching	2.0	0.0128	he got into the boat	2.0	0.0128	crows twice you will deny me	2	0.0128
121	sabbath	12.0	0.0769	will come	7.0	0.0449	6 and he	4.0	0.0256	come out of him	2.0	0.0128	got into the boat with	2.0	0.0128	twice you will deny me three	2	0.0128
122	demons	12.0	0.0769	the man	7.0	0.0449	charged them to	4.0	0.0256	him 26 and the	2.0	0.0128	do not eat unless they	2.0	0.0128	you will deny me three times	2	0.0128
123	whole	12.0	0.0769	saw him	7.0	0.0449	from the dead	4.0	0.0256	and crying out with	2.0	0.0128	not eat unless they wash	2.0	0.0128	he came and found them sleeping	2	0.0128
124	36	12.0	0.0769	answered them	7.0	0.0449	32 and they	4.0	0.0256	crying out with a	2.0	0.0128	to the tradition of the	2.0	0.0128	have you no answer to make	2	0.0128
125	37	12.0	0.0769	6 and	7.0	0.0449	of his disciples	4.0	0.0256	out with a loud	2.0	0.0128	the tradition of the elders	2.0	0.0128	you the king of the jews	2	0.0128
126	word	12.0	0.0769	hands on	7.0	0.0449	the region of	4.0	0.0256	voice came out of	2.0	0.0128	6 and he said to	2.0	0.0128	mary magdalene and mary the mother	2	0.0128
127	bread	12.0	0.0769	the elders	7.0	0.0449	he asked them	4.0	0.0256	they were all amazed	2.0	0.0128	9 and he said to	2.0	0.0128	magdalene and mary the mother of	2	0.0128
128	teacher	12.0	0.0769	he asked	7.0	0.0449	and he sent	4.0	0.0256	entered the house of	2.0	0.0128	when he had entered the	2.0	0.0128	early on the first day of	2	0.0128
129	tell	12.0	0.0769	he took	7.0	0.0449	his disciples and	4.0	0.0256	the house of simon	2.0	0.0128	he had entered the house	2.0	0.0128	on the first day of the	2	0.0128
130	give	12.0	0.0769	he sent	7.0	0.0449	and the chief	4.0	0.0256	and he came and	2.0	0.0128	the region of tyre and	2.0	0.0128	the first day of the week	2	0.0128
131	pilate	12.0	0.0769	the christ	7.0	0.0449	the scribes and	4.0	0.0256	her by the hand	2.0	0.0128	did not want anyone to	2.0	0.0128	john the baptist prepares the way	1	0.0064
132	make	11.0	0.0705	not know	7.0	0.0449	i tell you	4.0	0.0256	the hand and lifted	2.0	0.0128	not want anyone to know	2.0	0.0128	the baptist prepares the way 1	1	0.0064
133	jerusalem	11.0	0.0705	fig tree	7.0	0.0449	in my name	4.0	0.0256	they brought to him	2.0	0.0128	29 and he said to	2.0	0.0128	baptist prepares the way 1 the	1	0.0064
134	simon	11.0	0.0705	the baptist	6.0	0.0384	to enter the	4.0	0.0256	many who were sick	2.0	0.0128	he called his disciples to	2.0	0.0128	prepares the way 1 the beginning	1	0.0064
135	entered	11.0	0.0705	the country	6.0	0.0384	enter the kingdom	4.0	0.0256	cast out many demons	2.0	0.0128	called his disciples to him	2.0	0.0128	the way 1 the beginning of	1	0.0064
136	authority	11.0	0.0705	him jesus	6.0	0.0384	to jerusalem and	4.0	0.0256	out many demons and	2.0	0.0128	his disciples to him and	2.0	0.0128	way 1 the beginning of the	1	0.0064
137	heart	11.0	0.0705	he called	6.0	0.0384	the temple and	4.0	0.0256	38 and he said	2.0	0.0128	disciples to him and said	2.0	0.0128	1 the beginning of the gospel	1	0.0064
138	fell	11.0	0.0705	man with	6.0	0.0384	in the temple	4.0	0.0256	to them let us	2.0	0.0128	the leaven of the pharisees	2.0	0.0128	the beginning of the gospel of	1	0.0064
139	children	11.0	0.0705	an unclean	6.0	0.0384	beginning of the	3.0	0.0192	them let us go	2.0	0.0128	leaven of the pharisees and	2.0	0.0128	beginning of the gospel of jesus	1	0.0064
140	given	11.0	0.0705	he entered	6.0	0.0384	in the wilderness	3.0	0.0192	said to him if	2.0	0.0128	thousand how many baskets full	2.0	0.0128	of the gospel of jesus christ	1	0.0064
141	shall	11.0	0.0705	cried out	6.0	0.0384	of the lord	3.0	0.0192	42 and immediately the	2.0	0.0128	how many baskets full of	2.0	0.0128	the gospel of jesus christ the	1	0.0064
142	right	11.0	0.0705	come to	6.0	0.0384	when he came	3.0	0.0192	him and sent him	2.0	0.0128	many baskets full of broken	2.0	0.0128	gospel of jesus christ the son	1	0.0064
143	done	11.0	0.0705	the unclean	6.0	0.0384	of god is	3.0	0.0192	and sent him away	2.0	0.0128	full of broken pieces did	2.0	0.0128	of jesus christ the son of	1	0.0064
144	dead	11.0	0.0705	came out	6.0	0.0384	the brother of	3.0	0.0192	the word to them	2.0	0.0128	of broken pieces did you	2.0	0.0128	jesus christ the son of god	1	0.0064
145	king	11.0	0.0705	even the	6.0	0.0384	james the son	3.0	0.0192	4 and when they	2.0	0.0128	broken pieces did you take	2.0	0.0128	christ the son of god a	1	0.0064
146	hour	11.0	0.0705	28 and	6.0	0.0384	the boat with	3.0	0.0192	because of the crowd	2.0	0.0128	pieces did you take up	2.0	0.0128	the son of god a 2	1	0.0064
147	send	10.0	0.0641	29 and	6.0	0.0384	him jesus heals	3.0	0.0192	said to the paralytic	2.0	0.0128	suffer many things and be	2.0	0.0128	son of god a 2 as	1	0.0064
148	well	10.0	0.0641	31 and	6.0	0.0384	man with an	3.0	0.0192	your sins are forgiven	2.0	0.0128	he said to them if	2.0	0.0128	of god a 2 as it	1	0.0064
149	heals	10.0	0.0641	they brought	6.0	0.0384	22 and they	3.0	0.0192	some of the scribes	2.0	0.0128	said to them if anyone	2.0	0.0128	god a 2 as it is	1	0.0064
150	brought	10.0	0.0641	cast out	6.0	0.0384	jesus of nazareth	3.0	0.0192	to say to the	2.0	0.0128	to them if anyone would	2.0	0.0128	a 2 as it is written	1	0.0064
151	cast	10.0	0.0641	42 and	6.0	0.0384	of god 25	3.0	0.0192	up your bed and	2.0	0.0128	said to them truly i	2.0	0.0128	2 as it is written in	1	0.0064
152	38	10.0	0.0641	immediately the	6.0	0.0384	26 and the	3.0	0.0192	that the son of	2.0	0.0128	to them truly i say	2.0	0.0128	as it is written in isaiah	1	0.0064
153	coming	10.0	0.0641	43 and	6.0	0.0384	with a loud	3.0	0.0192	and he rose and	2.0	0.0128	them truly i say to	2.0	0.0128	it is written in isaiah the	1	0.0064
154	rise	10.0	0.0641	not even	6.0	0.0384	a loud voice	3.0	0.0192	beside the sea and	2.0	0.0128	i say to you there	2.0	0.0128	is written in isaiah the prophet	1	0.0064
155	anything	10.0	0.0641	jesus and	6.0	0.0384	came out of	3.0	0.0192	all the crowd was	2.0	0.0128	took with him peter and	2.0	0.0128	written in isaiah the prophet b	1	0.0064
