id	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
14	government	9.0	0.3488	virtue the	5.0	0.1939	the philosopher tsang	3.0	0.1164	asked confucius about government	3.0	0.1164	deficient in intelligence and vigor	2.0	0.0776	will make it my business to	2	0.0777
15	replied	8.0	0.3101	said to	5.0	0.1939	philosopher tsang said	3.0	0.1164	a man of complete	2.0	0.0776	in intelligence and vigor i	2.0	0.0776	make it my business to practice	2	0.0777
16	confucius	8.0	0.3101	kung said	5.0	0.1939	i may have	3.0	0.1164	man of complete virtue	2.0	0.0776	intelligence and vigor i will	2.0	0.0776	it my business to practice this	2	0.0777
17	yu	7.0	0.2713	of propriety	5.0	0.1939	of the people	3.0	0.1164	i may have been	2.0	0.0776	and vigor i will make	2.0	0.0776	my business to practice this lesson	2	0.0777
18	love	7.0	0.2713	tsze chang	5.0	0.1939	tsze hsia said	3.0	0.1164	may have been not	2.0	0.0776	vigor i will make it	2.0	0.0776	cautious and slow in his speech	2	0.0777
19	good	7.0	0.2713	about government	5.0	0.1939	may be called	3.0	0.1164	the master said to	2.0	0.0776	i will make it my	2.0	0.0776	the superior man the master said	2	0.0777
20	prince	7.0	0.2713	said i	4.0	0.1551	to be done	3.0	0.1164	if in serving his	2.0	0.0776	will make it my business	2.0	0.0776	the master said the superior man	2	0.0777
21	ch	7.0	0.2713	tsze hsia	4.0	0.1551	what is right	3.0	0.1164	say that he has	2.0	0.0776	make it my business to	2.0	0.0776	asked about government the master said	2	0.0777
22	father	7.0	0.2713	said if	4.0	0.1551	in his speech	3.0	0.1164	hold faithfulness and sincerity	2.0	0.0776	it my business to practice	2.0	0.0776	about government the master said the	2	0.0777
23	philosopher	6.0	0.2326	the way	4.0	0.1551	asked about perfect	3.0	0.1164	faithfulness and sincerity as	2.0	0.0776	my business to practice this	2.0	0.0776	if it cannot be helped and	2	0.0777
24	others	6.0	0.2326	said in	4.0	0.1551	about perfect virtue	3.0	0.1164	and sincerity as first	2.0	0.0776	business to practice this lesson	2.0	0.0776	it cannot be helped and one	2	0.0777
25	way	6.0	0.2326	the rules	4.0	0.1551	what is contrary	3.0	0.1164	sincerity as first principles	2.0	0.0776	sze ma niu asked about	2.0	0.0776	cannot be helped and one of	2	0.0777
26	friends	5.0	0.1938	rules of	4.0	0.1551	kung asked about	3.0	0.1164	according to what is	2.0	0.0776	cautious and slow in his	2.0	0.0776	must be dispensed with which of	2	0.0777
27	though	5.0	0.1938	be made	4.0	0.1551	master said it	3.0	0.1164	to what is right	2.0	0.0776	and slow in his speech	2.0	0.0776	asked confucius about government confucius replied	2	0.0777
28	business	5.0	0.1938	one s	4.0	0.1551	said it is	3.0	0.1164	the master said he	2.0	0.0776	the superior man the master	2.0	0.0776	chi k ang asked confucius about	2	0.0777
29	country	5.0	0.1938	is contrary	4.0	0.1551	in the country	3.0	0.1164	does not seek to	2.0	0.0776	superior man the master said	2.0	0.0776	k ang asked confucius about government	2	0.0777
30	proper	5.0	0.1938	contrary to	4.0	0.1551	sze ma niu	3.0	0.1164	to him who though	2.0	0.0776	the master said the superior	2.0	0.0776	in the country he will be	2	0.0777
31	let	5.0	0.1938	the duke	4.0	0.1551	the man of	3.0	0.1164	and return to propriety	2.0	0.0776	master said the superior man	2.0	0.0776	will be heard of in the	2	0.0777
32	saying	5.0	0.1938	be heard	4.0	0.1551	cautious and slow	3.0	0.1164	said though i am	2.0	0.0776	are successful may be called	2.0	0.0776	is not this the way to	2	0.0777
33	upright	5.0	0.1938	heard of	4.0	0.1551	and slow in	3.0	0.1164	though i am deficient	2.0	0.0776	asked about government the master	2.0	0.0776	the master said it is to	2	0.0777
34	made	5.0	0.1938	fan ch	4.0	0.1551	said the superior	3.0	0.1164	i am deficient in	2.0	0.0776	about government the master said	2.0	0.0776	said employ the upright and put	2	0.0777
35	make	5.0	0.1938	ch ih	4.0	0.1551	tsze chang asked	3.0	0.1164	am deficient in intelligence	2.0	0.0776	government the master said the	2.0	0.0776	employ the upright and put aside	2	0.0777
36	like	5.0	0.1938	the crooked	4.0	0.1551	if the people	3.0	0.1164	deficient in intelligence and	2.0	0.0776	if it cannot be helped	2.0	0.0776	the upright and put aside all	2	0.0777
37	heard	5.0	0.1938	to learn	3.0	0.1163	the way to	3.0	0.1164	in intelligence and vigor	2.0	0.0776	it cannot be helped and	2.0	0.0776	upright and put aside all the	2	0.0777
38	chang	5.0	0.1938	philosopher yu	3.0	0.1163	wish him to	3.0	0.1164	intelligence and vigor i	2.0	0.0776	cannot be helped and one	2.0	0.0776	and put aside all the crooked	2	0.0777
39	ang	5.0	0.1938	yu said	3.0	0.1163	asked confucius about	3.0	0.1164	and vigor i will	2.0	0.0776	be helped and one of	2.0	0.0776	put aside all the crooked in	2	0.0777
40	filial	4.0	0.155	attention to	3.0	0.1163	confucius about government	3.0	0.1164	vigor i will make	2.0	0.0776	must be dispensed with which	2.0	0.0776	aside all the crooked in this	2	0.0777
41	words	4.0	0.155	philosopher tsang	3.0	0.1163	chi k ang	3.0	0.1164	i will make it	2.0	0.0776	be dispensed with which of	2.0	0.0776	all the crooked in this way	2	0.0777
42	employ	4.0	0.155	tsang said	3.0	0.1163	a man of	2.0	0.0776	will make it my	2.0	0.0776	what is to be done	2.0	0.0776	the crooked in this way the	2	0.0777
43	hsia	4.0	0.155	i may	3.0	0.1163	man of complete	2.0	0.0776	make it my business	2.0	0.0776	asked confucius about government confucius	2.0	0.0776	crooked in this way the crooked	2	0.0777
44	first	4.0	0.155	may have	3.0	0.1163	of complete virtue	2.0	0.0776	it my business to	2.0	0.0776	confucius about government confucius replied	2.0	0.0776	being in possession of the kingdom	2	0.0777
45	fear	4.0	0.155	and sincerity	3.0	0.1163	against their superiors	2.0	0.0776	my business to practice	2.0	0.0776	chi k ang asked confucius	2.0	0.0776	in possession of the kingdom selected	2	0.0777
46	rules	4.0	0.155	hsia said	3.0	0.1163	may have been	2.0	0.0776	business to practice this	2.0	0.0776	k ang asked confucius about	2.0	0.0776	possession of the kingdom selected from	2	0.0777
47	yet	4.0	0.155	our master	3.0	0.1163	master said to	2.0	0.0776	to practice this lesson	2.0	0.0776	ang asked confucius about government	2.0	0.0776	of the kingdom selected from among	2	0.0777
48	without	4.0	0.155	country he	3.0	0.1163	if a man	2.0	0.0776	sze ma niu asked	2.0	0.0776	such a man will be	2.0	0.0776	the kingdom selected from among all	2	0.0777
49	done	4.0	0.155	father is	3.0	0.1163	the love of	2.0	0.0776	ma niu asked about	2.0	0.0776	in the country he will	2.0	0.0776	kingdom selected from among all the	2	0.0777
50	seek	4.0	0.155	be called	3.0	0.1163	if in serving	2.0	0.0776	and slow in his	2.0	0.0776	the country he will be	2.0	0.0776	selected from among all the people	2	0.0777
51	rich	4.0	0.155	be done	3.0	0.1163	in serving his	2.0	0.0776	slow in his speech	2.0	0.0776	will be heard of in	2.0	0.0776	from among all the people and	2	0.0777
52	practice	4.0	0.155	said when	3.0	0.1163	with his friends	2.0	0.0776	the master said when	2.0	0.0776	be heard of in the	2.0	0.0776	among all the people and employed	2	0.0777
53	contrary	4.0	0.155	is right	3.0	0.1163	say that he	2.0	0.0776	the superior man the	2.0	0.0776	is not this the way	2.0	0.0776	who were devoid of virtue disappeared	2	0.0777
54	wish	4.0	0.155	his speech	3.0	0.1163	hold faithfulness and	2.0	0.0776	superior man the master	2.0	0.0776	not this the way to	2.0	0.0776	part 1 the master is it	1	0.0388
55	niu	4.0	0.155	yen yuan	3.0	0.1163	faithfulness and sincerity	2.0	0.0776	man the master said	2.0	0.0776	master said it is to	2.0	0.0776	1 the master is it not	1	0.0388
56	cannot	4.0	0.155	about perfect	3.0	0.1163	and sincerity as	2.0	0.0776	master said the superior	2.0	0.0776	said employ the upright and	2.0	0.0776	the master is it not pleasant	1	0.0388
57	chi	4.0	0.155	virtue to	3.0	0.1163	sincerity as first	2.0	0.0776	tsze chang asked what	2.0	0.0776	employ the upright and put	2.0	0.0776	master is it not pleasant to	1	0.0388
58	duke	4.0	0.155	to practice	3.0	0.1163	as first principles	2.0	0.0776	he with whom neither	2.0	0.0776	the upright and put aside	2.0	0.0776	is it not pleasant to learn	1	0.0388
59	son	4.0	0.155	kung asked	3.0	0.1163	not equal to	2.0	0.0776	are successful may be	2.0	0.0776	upright and put aside all	2.0	0.0776	it not pleasant to learn with	1	0.0388
60	distinguished	4.0	0.155	said it	3.0	0.1163	the people will	2.0	0.0776	successful may be called	2.0	0.0776	and put aside all the	2.0	0.0776	not pleasant to learn with a	1	0.0388
61	fan	4.0	0.155	employ the	3.0	0.1163	he may be	2.0	0.0776	tsze kung asked about	2.0	0.0776	put aside all the crooked	2.0	0.0776	pleasant to learn with a constant	1	0.0388
62	ih	4.0	0.155	to others	3.0	0.1163	according to what	2.0	0.0776	asked about government the	2.0	0.0776	aside all the crooked in	2.0	0.0776	to learn with a constant perseverance	1	0.0388
63	crooked	4.0	0.155	the country	3.0	0.1163	can be made	2.0	0.0776	about government the master	2.0	0.0776	all the crooked in this	2.0	0.0776	learn with a constant perseverance and	1	0.0388
64	part	3.0	0.1163	sze ma	3.0	0.1163	master said he	2.0	0.0776	government the master said	2.0	0.0776	the crooked in this way	2.0	0.0776	with a constant perseverance and application	1	0.0388
65	learn	3.0	0.1163	ma niu	3.0	0.1163	does not seek	2.0	0.0776	if it cannot be	2.0	0.0776	crooked in this way the	2.0	0.0776	a constant perseverance and application is	1	0.0388
66	superiors	3.0	0.1163	the man	3.0	0.1163	not seek to	2.0	0.0776	it cannot be helped	2.0	0.0776	in this way the crooked	2.0	0.0776	constant perseverance and application is it	1	0.0388
67	attention	3.0	0.1163	cautious and	3.0	0.1163	may be said	2.0	0.0776	cannot be helped and	2.0	0.0776	be made to be upright	2.0	0.0776	perseverance and application is it not	1	0.0388
68	tsang	3.0	0.1163	and slow	3.0	0.1163	the master replied	2.0	0.0776	be helped and one	2.0	0.0776	being in possession of the	2.0	0.0776	and application is it not delightful	1	0.0388
69	three	3.0	0.1163	slow in	3.0	0.1163	him who though	2.0	0.0776	helped and one of	2.0	0.0776	in possession of the kingdom	2.0	0.0776	application is it not delightful to	1	0.0388
70	whether	3.0	0.1163	chang asked	3.0	0.1163	replied it is	2.0	0.0776	must be dispensed with	2.0	0.0776	possession of the kingdom selected	2.0	0.0776	is it not delightful to have	1	0.0388
71	sincerity	3.0	0.1163	one of	3.0	0.1163	and return to	2.0	0.0776	be dispensed with which	2.0	0.0776	of the kingdom selected from	2.0	0.0776	it not delightful to have friends	1	0.0388
72	friendship	3.0	0.1163	the state	3.0	0.1163	return to propriety	2.0	0.0776	dispensed with which of	2.0	0.0776	the kingdom selected from among	2.0	0.0776	not delightful to have friends coming	1	0.0388
73	mind	3.0	0.1163	yu zo	3.0	0.1163	of perfect virtue	2.0	0.0776	if the people have	2.0	0.0776	kingdom selected from among all	2.0	0.0776	delightful to have friends coming from	1	0.0388
74	parents	3.0	0.1163	way to	3.0	0.1163	said though i	2.0	0.0776	the hide of a	2.0	0.0776	selected from among all the	2.0	0.0776	to have friends coming from distant	1	0.0388
75	life	3.0	0.1163	to exalt	3.0	0.1163	though i am	2.0	0.0776	stripped of its hair	2.0	0.0776	from among all the people	2.0	0.0776	have friends coming from distant quarters	1	0.0388
76	although	3.0	0.1163	wish him	3.0	0.1163	i am deficient	2.0	0.0776	is to be done	2.0	0.0776	among all the people and	2.0	0.0776	friends coming from distant quarters is	1	0.0388
77	say	3.0	0.1163	asked confucius	3.0	0.1163	am deficient in	2.0	0.0776	the way to exalt	2.0	0.0776	all the people and employed	2.0	0.0776	coming from distant quarters is he	1	0.0388
78	call	3.0	0.1163	confucius about	3.0	0.1163	deficient in intelligence	2.0	0.0776	and wish him to	2.0	0.0776	who were devoid of virtue	2.0	0.0776	from distant quarters is he not	1	0.0388
79	ask	3.0	0.1163	confucius replied	3.0	0.1163	in intelligence and	2.0	0.0776	him to live you	2.0	0.0776	were devoid of virtue disappeared	2.0	0.0776	distant quarters is he not a	1	0.0388
80	information	3.0	0.1163	chi k	3.0	0.1163	intelligence and vigor	2.0	0.0776	wish him to die	2.0	0.0776	part 1 the master is	1.0	0.0388	quarters is he not a man	1	0.0388
81	look	3.0	0.1163	k ang	3.0	0.1163	and vigor i	2.0	0.0776	a case of delusion	2.0	0.0776	1 the master is it	1.0	0.0388	is he not a man of	1	0.0388
82	called	3.0	0.1163	be distinguished	3.0	0.1163	vigor i will	2.0	0.0776	confucius about government confucius	2.0	0.0776	the master is it not	1.0	0.0388	he not a man of complete	1	0.0388
83	ease	3.0	0.1163	of virtue	3.0	0.1163	i will make	2.0	0.0776	about government confucius replied	2.0	0.0776	master is it not pleasant	1.0	0.0388	not a man of complete virtue	1	0.0388
84	great	3.0	0.1163	master is	2.0	0.0775	will make it	2.0	0.0776	father and the son	2.0	0.0776	is it not pleasant to	1.0	0.0388	a man of complete virtue who	1	0.0388
85	right	3.0	0.1163	of complete	2.0	0.0775	make it my	2.0	0.0776	chi k ang asked	2.0	0.0776	it not pleasant to learn	1.0	0.0388	man of complete virtue who feels	1	0.0388
86	food	3.0	0.1163	complete virtue	2.0	0.0775	it my business	2.0	0.0776	k ang asked confucius	2.0	0.0776	not pleasant to learn with	1.0	0.0388	of complete virtue who feels no	1	0.0388
87	speech	3.0	0.1163	filial and	2.0	0.0775	my business to	2.0	0.0776	ang asked confucius about	2.0	0.0776	pleasant to learn with a	1.0	0.0388	complete virtue who feels no discomposure	1	0.0388
88	indeed	3.0	0.1163	and fraternal	2.0	0.0775	business to practice	2.0	0.0776	to be heard of	2.0	0.0776	to learn with a constant	1.0	0.0388	virtue who feels no discomposure though	1	0.0388
89	yen	3.0	0.1163	fond of	2.0	0.0775	to practice this	2.0	0.0776	such a man will	2.0	0.0776	learn with a constant perseverance	1.0	0.0388	who feels no discomposure though men	1	0.0388
90	yuan	3.0	0.1163	their superiors	2.0	0.0775	practice this lesson	2.0	0.0776	a man will be	2.0	0.0776	with a constant perseverance and	1.0	0.0388	feels no discomposure though men may	1	0.0388
91	intelligence	3.0	0.1163	words and	2.0	0.0775	ma niu asked	2.0	0.0776	will be distinguished in	2.0	0.0776	a constant perseverance and application	1.0	0.0388	no discomposure though men may take	1	0.0388
92	sze	3.0	0.1163	whether in	2.0	0.0775	niu asked about	2.0	0.0776	in the country he	2.0	0.0776	constant perseverance and application is	1.0	0.0388	discomposure though men may take no	1	0.0388
93	cautious	3.0	0.1163	intercourse with	2.0	0.0775	slow in his	2.0	0.0776	the country he will	2.0	0.0776	perseverance and application is it	1.0	0.0388	though men may take no note	1	0.0388
94	slow	3.0	0.1163	business and	2.0	0.0775	master said when	2.0	0.0776	country he will be	2.0	0.0776	and application is it not	1.0	0.0388	men may take no note of	1	0.0388
95	neither	3.0	0.1163	men and	2.0	0.0775	superior man the	2.0	0.0776	will be heard of	2.0	0.0776	application is it not delightful	1.0	0.0388	may take no note of him	1	0.0388
96	anxiety	3.0	0.1163	respectful to	2.0	0.0775	man the master	2.0	0.0776	be heard of in	2.0	0.0776	is it not delightful to	1.0	0.0388	take no note of him the	1	0.0388
97	brothers	3.0	0.1163	love to	2.0	0.0775	said to him	2.0	0.0776	heard of in the	2.0	0.0776	it not delightful to have	1.0	0.0388	no note of him the philosopher	1	0.0388
98	state	3.0	0.1163	the good	2.0	0.0775	chang asked what	2.0	0.0776	to exalt virtue to	2.0	0.0776	not delightful to have friends	1.0	0.0388	note of him the philosopher yu	1	0.0388
99	qualities	3.0	0.1163	good when	2.0	0.0775	with whom neither	2.0	0.0776	to correct cherished evil	2.0	0.0776	delightful to have friends coming	1.0	0.0388	of him the philosopher yu said	1	0.0388
100	sir	3.0	0.1163	the love	2.0	0.0775	are successful may	2.0	0.0776	not this the way	2.0	0.0776	to have friends coming from	1.0	0.0388	him the philosopher yu said they	1	0.0388
101	zo	3.0	0.1163	love of	2.0	0.0775	successful may be	2.0	0.0776	this the way to	2.0	0.0776	have friends coming from distant	1.0	0.0388	the philosopher yu said they are	1	0.0388
102	exalt	3.0	0.1163	in serving	2.0	0.0775	tsze kung asked	2.0	0.0776	said it is to	2.0	0.0776	friends coming from distant quarters	1.0	0.0388	philosopher yu said they are few	1	0.0388
103	minister	3.0	0.1163	serving his	2.0	0.0775	asked about government	2.0	0.0776	said employ the upright	2.0	0.0776	coming from distant quarters is	1.0	0.0388	yu said they are few who	1	0.0388
104	litigations	3.0	0.1163	his parents	2.0	0.0775	about government the	2.0	0.0776	employ the upright and	2.0	0.0776	from distant quarters is he	1.0	0.0388	said they are few who being	1	0.0388
105	k	3.0	0.1163	his friends	2.0	0.0775	government the master	2.0	0.0776	the upright and put	2.0	0.0776	distant quarters is he not	1.0	0.0388	they are few who being filial	1	0.0388
106	correct	3.0	0.1163	say that	2.0	0.0775	if it cannot	2.0	0.0776	upright and put aside	2.0	0.0776	quarters is he not a	1.0	0.0388	are few who being filial and	1	0.0388
107	clan	3.0	0.1163	hold faithfulness	2.0	0.0775	it cannot be	2.0	0.0776	and put aside all	2.0	0.0776	is he not a man	1.0	0.0388	few who being filial and fraternal	1	0.0388
108	complete	2.0	0.0775	faithfulness and	2.0	0.0775	cannot be helped	2.0	0.0776	put aside all the	2.0	0.0776	he not a man of	1.0	0.0388	who being filial and fraternal are	1	0.0388
109	feels	2.0	0.0775	sincerity as	2.0	0.0775	be helped and	2.0	0.0776	aside all the crooked	2.0	0.0776	not a man of complete	1.0	0.0388	being filial and fraternal are fond	1	0.0388
110	fraternal	2.0	0.0775	as first	2.0	0.0775	helped and one	2.0	0.0776	all the crooked in	2.0	0.0776	man of complete virtue who	1.0	0.0388	filial and fraternal are fond of	1	0.0388
111	fond	2.0	0.0775	first principles	2.0	0.0775	and one of	2.0	0.0776	the crooked in this	2.0	0.0776	of complete virtue who feels	1.0	0.0388	and fraternal are fond of offending	1	0.0388
112	none	2.0	0.0775	not equal	2.0	0.0775	must be dispensed	2.0	0.0776	crooked in this way	2.0	0.0776	complete virtue who feels no	1.0	0.0388	fraternal are fond of offending against	1	0.0388
113	actions	2.0	0.0775	equal to	2.0	0.0775	be dispensed with	2.0	0.0776	in this way the	2.0	0.0776	virtue who feels no discomposure	1.0	0.0388	are fond of offending against their	1	0.0388
114	appearance	2.0	0.0775	and let	2.0	0.0775	dispensed with which	2.0	0.0776	this way the crooked	2.0	0.0776	who feels no discomposure though	1.0	0.0388	fond of offending against their superiors	1	0.0388
115	intercourse	2.0	0.0775	people will	2.0	0.0775	should be foregone	2.0	0.0776	be made to be	2.0	0.0776	feels no discomposure though men	1.0	0.0388	of offending against their superiors there	1	0.0388
116	sincere	2.0	0.0775	its proper	2.0	0.0775	the people have	2.0	0.0776	made to be upright	2.0	0.0776	no discomposure though men may	1.0	0.0388	offending against their superiors there have	1	0.0388
117	expenditure	2.0	0.0775	tsze ch	2.0	0.0775	a superior man	2.0	0.0776	being in possession of	2.0	0.0776	discomposure though men may take	1.0	0.0388	against their superiors there have been	1	0.0388
118	abroad	2.0	0.0775	his information	2.0	0.0775	the hide of	2.0	0.0776	in possession of the	2.0	0.0776	though men may take no	1.0	0.0388	their superiors there have been none	1	0.0388
119	respectful	2.0	0.0775	other men	2.0	0.0775	hide of a	2.0	0.0776	possession of the kingdom	2.0	0.0776	men may take no note	1.0	0.0388	superiors there have been none who	1	0.0388
120	earnest	2.0	0.0775	look at	2.0	0.0775	stripped of its	2.0	0.0776	of the kingdom selected	2.0	0.0776	may take no note of	1.0	0.0388	there have been none who not	1	0.0388
121	things	2.0	0.0775	his father	2.0	0.0775	of its hair	2.0	0.0776	the kingdom selected from	2.0	0.0776	take no note of him	1.0	0.0388	have been none who not liking	1	0.0388
122	serving	2.0	0.0775	he may	2.0	0.0775	the people with	2.0	0.0776	kingdom selected from among	2.0	0.0776	no note of him the	1.0	0.0388	been none who not liking to	1	0.0388
123	learning	2.0	0.0775	be prized	2.0	0.0775	said the duke	2.0	0.0776	selected from among all	2.0	0.0776	note of him the philosopher	1.0	0.0388	none who not liking to offend	1	0.0388
124	solid	2.0	0.0775	according to	2.0	0.0775	way to exalt	2.0	0.0776	from among all the	2.0	0.0776	of him the philosopher yu	1.0	0.0388	who not liking to offend against	1	0.0388
125	hold	2.0	0.0775	said he	2.0	0.0775	and wish him	2.0	0.0776	among all the people	2.0	0.0776	him the philosopher yu said	1.0	0.0388	not liking to offend against their	1	0.0388
126	faithfulness	2.0	0.0775	not seek	2.0	0.0775	him to live	2.0	0.0776	all the people and	2.0	0.0776	the philosopher yu said they	1.0	0.0388	liking to offend against their superiors	1	0.0388
127	principles	2.0	0.0775	seek to	2.0	0.0775	to live you	2.0	0.0776	the people and employed	2.0	0.0776	philosopher yu said they are	1.0	0.0388	to offend against their superiors have	1	0.0388
128	equal	2.0	0.0775	of men	2.0	0.0775	him to die	2.0	0.0776	who were devoid of	2.0	0.0776	yu said they are few	1.0	0.0388	offend against their superiors have been	1	0.0388
129	careful	2.0	0.0775	be said	2.0	0.0775	a case of	2.0	0.0776	were devoid of virtue	2.0	0.0776	said they are few who	1.0	0.0388	against their superiors have been fond	1	0.0388
130	sacrifice	2.0	0.0775	to love	2.0	0.0775	case of delusion	2.0	0.0776	devoid of virtue disappeared	2.0	0.0776	are few who being filial	1.0	0.0388	their superiors have been fond of	1	0.0388
131	fail	2.0	0.0775	said what	2.0	0.0775	about government confucius	2.0	0.0776	part 1 the master	1.0	0.0388	few who being filial and	1.0	0.0388	superiors have been fond of stirring	1	0.0388
132	thus	2.0	0.0775	man who	2.0	0.0775	government confucius replied	2.0	0.0776	1 the master is	1.0	0.0388	who being filial and fraternal	1.0	0.0388	have been fond of stirring up	1	0.0388
133	conduct	2.0	0.0775	master replied	2.0	0.0775	father and the	2.0	0.0776	the master is it	1.0	0.0388	being filial and fraternal are	1.0	0.0388	been fond of stirring up confusion	1	0.0388
134	prized	2.0	0.0775	who though	2.0	0.0775	and the son	2.0	0.0776	master is it not	1.0	0.0388	filial and fraternal are fond	1.0	0.0388	fond of stirring up confusion the	1	0.0388
135	knowing	2.0	0.0775	replied it	2.0	0.0775	k ang asked	2.0	0.0776	is it not pleasant	1.0	0.0388	and fraternal are fond of	1.0	0.0388	of stirring up confusion the superior	1	0.0388
136	likewise	2.0	0.0775	be afflicted	2.0	0.0775	ang asked confucius	2.0	0.0776	it not pleasant to	1.0	0.0388	fraternal are fond of offending	1.0	0.0388	stirring up confusion the superior man	1	0.0388
137	according	2.0	0.0775	and return	2.0	0.0775	to be heard	2.0	0.0776	not pleasant to learn	1.0	0.0388	are fond of offending against	1.0	0.0388	up confusion the superior man bends	1	0.0388
138	disgrace	2.0	0.0775	return to	2.0	0.0775	such a man	2.0	0.0776	pleasant to learn with	1.0	0.0388	fond of offending against their	1.0	0.0388	confusion the superior man bends his	1	0.0388
139	upon	2.0	0.0775	of perfect	2.0	0.0775	a man will	2.0	0.0776	to learn with a	1.0	0.0388	of offending against their superiors	1.0	0.0388	the superior man bends his attention	1	0.0388
140	poor	2.0	0.0775	to ask	2.0	0.0775	man will be	2.0	0.0776	learn with a constant	1.0	0.0388	offending against their superiors there	1.0	0.0388	superior man bends his attention to	1	0.0388
141	loves	2.0	0.0775	said though	2.0	0.0775	will be distinguished	2.0	0.0776	with a constant perseverance	1.0	0.0388	against their superiors there have	1.0	0.0388	man bends his attention to what	1	0.0388
142	afflicted	2.0	0.0775	though i	2.0	0.0775	be distinguished in	2.0	0.0776	a constant perseverance and	1.0	0.0388	their superiors there have been	1.0	0.0388	bends his attention to what is	1	0.0388
143	know	2.0	0.0775	am deficient	2.0	0.0775	the country he	2.0	0.0776	constant perseverance and application	1.0	0.0388	superiors there have been none	1.0	0.0388	his attention to what is radical	1	0.0388
144	subdue	2.0	0.0775	deficient in	2.0	0.0775	country he will	2.0	0.0776	perseverance and application is	1.0	0.0388	there have been none who	1.0	0.0388	attention to what is radical that	1	0.0388
145	return	2.0	0.0775	in intelligence	2.0	0.0775	will be heard	2.0	0.0776	and application is it	1.0	0.0388	have been none who not	1.0	0.0388	to what is radical that being	1	0.0388
146	heaven	2.0	0.0775	intelligence and	2.0	0.0775	heard of in	2.0	0.0776	application is it not	1.0	0.0388	been none who not liking	1.0	0.0388	what is radical that being established	1	0.0388
147	deficient	2.0	0.0775	and vigor	2.0	0.0775	to exalt virtue	2.0	0.0776	is it not delightful	1.0	0.0388	none who not liking to	1.0	0.0388	is radical that being established all	1	0.0388
148	vigor	2.0	0.0775	vigor i	2.0	0.0775	exalt virtue to	2.0	0.0776	it not delightful to	1.0	0.0388	who not liking to offend	1.0	0.0388	radical that being established all practical	1	0.0388
149	lesson	2.0	0.0775	will make	2.0	0.0775	to correct cherished	2.0	0.0776	not delightful to have	1.0	0.0388	not liking to offend against	1.0	0.0388	that being established all practical courses	1	0.0388
