id	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
45	state	16.0	0.1518	as much	9.0	0.0854	to the product	6.0	0.0569	nature of private property	3.0	0.0285	of the worker according to	2.0	0.019	the non worker to the worker	2	0.019
46	alienated	16.0	0.1518	according to	9.0	0.0854	the object of	6.0	0.0569	to the doctrine of	3.0	0.0285	the worker according to the	2.0	0.019	non worker to the worker and	2	0.019
47	commodity	15.0	0.1423	a commodity	9.0	0.0854	means of life	6.0	0.0569	the doctrine of the	3.0	0.0285	worker according to the political	2.0	0.019	worker to the worker and to	2	0.019
48	first	15.0	0.1423	life of	9.0	0.0854	relationship of the	6.0	0.0569	as loss of the	3.0	0.0285	stands opposed to the interest	2.0	0.019	and to the product of his	2	0.019
49	result	15.0	0.1423	part of	9.0	0.0854	appears in the	6.0	0.0569	the worker produces the	3.0	0.0285	opposed to the interest of	2.0	0.019	wages of labour wages are determined	1	0.0095
50	p	15.0	0.1423	worker is	9.0	0.0854	as an alien	6.0	0.0569	of the worker and	3.0	0.0285	when society is in a	2.0	0.019	of labour wages are determined through	1	0.0095
51	external	15.0	0.1423	let us	9.0	0.0854	a section of	5.0	0.0474	the object of his	3.0	0.0285	society is in a state	2.0	0.019	labour wages are determined through the	1	0.0095
52	alienation	15.0	0.1423	of wages	9.0	0.0854	a part of	5.0	0.0474	the sensuous external world	3.0	0.0285	is in a state of	2.0	0.019	wages are determined through the antagonistic	1	0.0095
53	every	14.0	0.1328	result of	9.0	0.0854	the prices of	5.0	0.0474	the means of life	3.0	0.0285	when he is not working	2.0	0.019	are determined through the antagonistic struggle	1	0.0095
54	1	14.0	0.1328	the division	9.0	0.0854	number of workers	5.0	0.0474	of life in the	3.0	0.0285	at the same time the	2.0	0.019	determined through the antagonistic struggle between	1	0.0095
55	division	14.0	0.1328	the number	9.0	0.0854	i e the	5.0	0.0474	in that he receives	3.0	0.0285	for every 100 male workers	2.0	0.019	through the antagonistic struggle between capitalist	1	0.0095
56	another	14.0	0.1328	a state	9.0	0.0854	the worker in	5.0	0.0474	as a physical subject	3.0	0.0285	children between the ages of	2.0	0.019	the antagonistic struggle between capitalist and	1	0.0095
57	class	14.0	0.1328	loss of	9.0	0.0854	state of society	5.0	0.0474	becomes the worker the	3.0	0.0285	then the commodity is in	2.0	0.019	antagonistic struggle between capitalist and worker	1	0.0095
58	time	14.0	0.1328	the non	9.0	0.0854	according to the	5.0	0.0474	the worker the more	3.0	0.0285	the commodity is in great	2.0	0.019	struggle between capitalist and worker victory	1	0.0095
59	also	14.0	0.1328	it produces	9.0	0.0854	the political economists	5.0	0.0474	relationship of the worker	3.0	0.0285	of labour as a commodity	2.0	0.019	between capitalist and worker victory goes	1	0.0095
60	animal	14.0	0.1328	becomes the	9.0	0.0854	the interest of	5.0	0.0474	to the objects of	3.0	0.0285	the separation of labor capital	2.0	0.019	capitalist and worker victory goes necessarily	1	0.0095
61	world	14.0	0.1328	object of	9.0	0.0854	in a state	5.0	0.0474	the act of production	3.0	0.0285	separation of labor capital and	2.0	0.019	and worker victory goes necessarily to	1	0.0095
62	interest	13.0	0.1233	a means	9.0	0.0854	as loss of	5.0	0.0474	the object of labor	3.0	0.0285	i e it does not	2.0	0.019	worker victory goes necessarily to the	1	0.0095
63	e	13.0	0.1233	worker s	8.0	0.0759	object of labor	5.0	0.0474	does not belong to	3.0	0.0285	to the doctrine of the	2.0	0.019	victory goes necessarily to the capitalist	1	0.0095
64	greater	13.0	0.1233	the price	8.0	0.0759	a species being	5.0	0.0474	in the fact that	3.0	0.0285	the division of landed property	2.0	0.019	goes necessarily to the capitalist the	1	0.0095
65	etc	13.0	0.1233	the working	8.0	0.0759	his life activity	5.0	0.0474	not belonging to him	3.0	0.0285	the worker produces the less	2.0	0.019	necessarily to the capitalist the capitalist	1	0.0095
66	capitalists	12.0	0.1138	a result	8.0	0.0759	man s species	5.0	0.0474	is a species being	3.0	0.0285	worker produces the less he	2.0	0.019	to the capitalist the capitalist can	1	0.0095
67	necessary	12.0	0.1138	the fact	8.0	0.0759	relationship in which	5.0	0.0474	accordance with the standard	3.0	0.0285	to the product of labor	2.0	0.019	the capitalist the capitalist can live	1	0.0095
68	existence	12.0	0.1138	labour and	8.0	0.0759	the worker has	4.0	0.038	man s relation to	3.0	0.0285	the product of labor as	2.0	0.019	capitalist the capitalist can live longer	1	0.0095
69	number	12.0	0.1138	the whole	8.0	0.0759	the separation of	4.0	0.038	to the other man	3.0	0.0285	the alienation of the worker	2.0	0.019	the capitalist can live longer without	1	0.0095
70	wealth	12.0	0.1138	a worker	8.0	0.0759	the workers the	4.0	0.038	if the product of	3.0	0.0285	of the worker in his	2.0	0.019	capitalist can live longer without the	1	0.0095
71	body	12.0	0.1138	of political	8.0	0.0759	the worker who	4.0	0.038	of the non worker	3.0	0.0285	means for the physical subsistence	2.0	0.019	can live longer without the worker	1	0.0095
72	objects	12.0	0.1138	of life	8.0	0.0759	on account of	4.0	0.038	relation to the worker	3.0	0.0285	for the physical subsistence of	2.0	0.019	live longer without the worker than	1	0.0095
73	necessarily	11.0	0.1044	cit pp	8.0	0.0759	account of the	4.0	0.038	and to the product	3.0	0.0285	the physical subsistence of the	2.0	0.019	longer without the worker than can	1	0.0095
74	without	11.0	0.1044	of man	8.0	0.0759	let us now	4.0	0.038	between capitalist and worker	2.0	0.019	physical subsistence of the worker	2.0	0.019	without the worker than can the	1	0.0095
75	two	11.0	0.1044	his life	8.0	0.0759	result of the	4.0	0.038	the landowner and the	2.0	0.019	thus the more the worker	2.0	0.019	the worker than can the worker	1	0.0095
76	condition	10.0	0.0949	estrangement of	8.0	0.0759	the means of	4.0	0.038	landowner and the capitalist	2.0	0.019	more and more ceases to	2.0	0.019	worker than can the worker without	1	0.0095
77	part	10.0	0.0949	species being	8.0	0.0759	the worker becomes	4.0	0.038	competition among the workers	2.0	0.019	and more ceases to be	2.0	0.019	than can the worker without the	1	0.0095
78	less	10.0	0.0949	section of	7.0	0.0664	of capital and	4.0	0.038	among the workers thus	2.0	0.019	the estrangement of the worker	2.0	0.019	can the worker without the capitalist	1	0.0095
79	spiritual	10.0	0.0949	the life	7.0	0.0664	the political economist	4.0	0.038	the separation of capital	2.0	0.019	of the worker to the	2.0	0.019	the worker without the capitalist combination	1	0.0095
80	whole	10.0	0.0949	and thus	7.0	0.0664	tells us that	4.0	0.038	capital and landed property	2.0	0.019	of the worker to production	2.0	0.019	worker without the capitalist combination among	1	0.0095
81	ever	10.0	0.0949	thus the	7.0	0.0664	the same time	4.0	0.038	of the workers the	2.0	0.019	the act of production within	2.0	0.019	without the capitalist combination among the	1	0.0095
82	even	10.0	0.0949	the means	7.0	0.0664	of the product	4.0	0.038	as is necessary for	2.0	0.019	act of production within the	2.0	0.019	the capitalist combination among the capitalists	1	0.0095
83	belongs	10.0	0.0949	worker in	7.0	0.0664	as much as	4.0	0.038	of every other commodity	2.0	0.019	the object of labor is	2.0	0.019	capitalist combination among the capitalists is	1	0.0095
84	power	10.0	0.0949	working class	7.0	0.0664	to the political	4.0	0.038	into beggary or starvation	2.0	0.019	it does not belong to	2.0	0.019	combination among the capitalists is customary	1	0.0095
85	free	10.0	0.0949	the accumulation	7.0	0.0664	interest of the	4.0	0.038	on the whim of	2.0	0.019	to the act of production	2.0	0.019	among the capitalists is customary and	1	0.0095
86	loss	10.0	0.0949	accumulation of	7.0	0.0664	in relation to	4.0	0.038	the whim of the	2.0	0.019	his own activity as an	2.0	0.019	the capitalists is customary and effective	1	0.0095
87	according	9.0	0.0854	fact that	7.0	0.0664	of the non	4.0	0.038	whim of the rich	2.0	0.019	because he treats himself as	2.0	0.019	capitalists is customary and effective workers	1	0.0095
88	demand	9.0	0.0854	increases the	7.0	0.0664	is a commodity	4.0	0.038	the worker who is	2.0	0.019	he is a species being	2.0	0.019	is customary and effective workers combination	1	0.0095
89	become	9.0	0.0854	production and	7.0	0.0664	loss of the	4.0	0.038	less than they do	2.0	0.019	accordance with the standard and	2.0	0.019	customary and effective workers combination is	1	0.0095
90	profit	9.0	0.0854	that man	7.0	0.0664	more the worker	4.0	0.038	rise on account of	2.0	0.019	with the standard and the	2.0	0.019	and effective workers combination is prohibited	1	0.0095
91	2	9.0	0.0854	activity as	7.0	0.0664	the alienation of	4.0	0.038	the increase in the	2.0	0.019	man is estranged from the	2.0	0.019	effective workers combination is prohibited and	1	0.0095
92	increase	9.0	0.0854	activity of	7.0	0.0664	of life in	4.0	0.038	in the prices of	2.0	0.019	a man s relation to	2.0	0.019	workers combination is prohibited and painful	1	0.0095
93	let	9.0	0.0854	the less	7.0	0.0664	a means of	4.0	0.038	prices of provisions and	2.0	0.019	product of his labor and	2.0	0.019	combination is prohibited and painful in	1	0.0095
94	however	9.0	0.0854	labor to	7.0	0.0664	estrangement of the	4.0	0.038	of provisions and thus	2.0	0.019	of his labor and to	2.0	0.019	is prohibited and painful in its	1	0.0095
95	nothing	9.0	0.0854	appears in	7.0	0.0664	becomes the worker	4.0	0.038	provisions and thus balance	2.0	0.019	relation to the other man	2.0	0.019	prohibited and painful in its consequences	1	0.0095
96	merely	9.0	0.0854	the gods	7.0	0.0664	worker to the	4.0	0.038	the situation of the	2.0	0.019	the relationship of estranged labor	2.0	0.019	and painful in its consequences for	1	0.0095
97	pp	9.0	0.0854	non worker	7.0	0.0664	the act of	4.0	0.038	situation of the worker	2.0	0.019	and the relationship in which	2.0	0.019	painful in its consequences for them	1	0.0095
98	non	9.0	0.0854	to labor	7.0	0.0664	act of production	4.0	0.038	the worker suffers most	2.0	0.019	the relationship in which he	2.0	0.019	in its consequences for them besides	1	0.0095
99	war	9.0	0.0854	the capitalists	6.0	0.0569	in his work	4.0	0.038	favorable to the worker	2.0	0.019	a fact of political economy	2.0	0.019	its consequences for them besides the	1	0.0095
100	rent	8.0	0.0759	the competition	6.0	0.0569	in accordance with	4.0	0.038	competition between the capitalists	2.0	0.019	the concept of estranged alienated	2.0	0.019	consequences for them besides the landowner	1	0.0095
101	need	8.0	0.0759	worker the	6.0	0.0569	accordance with the	4.0	0.038	in the first place	2.0	0.019	concept of estranged alienated labor	2.0	0.019	for them besides the landowner and	1	0.0095
102	like	8.0	0.0759	prices of	6.0	0.0569	the other man	4.0	0.038	in the service of	2.0	0.019	if the product of labor	2.0	0.019	them besides the landowner and the	1	0.0095
103	section	8.0	0.0759	means to	6.0	0.0569	the relationship in	4.0	0.038	of the fact that	2.0	0.019	from the standpoint of the	2.0	0.019	besides the landowner and the capitalist	1	0.0095
104	direct	8.0	0.0759	ever more	6.0	0.0569	estranged alienated labor	4.0	0.038	increases the division of	2.0	0.019	the concept of alienated labor	2.0	0.019	the landowner and the capitalist can	1	0.0095
105	individual	8.0	0.0759	alien to	6.0	0.0569	wages of labour	3.0	0.0285	of labour and the	2.0	0.019	the emancipation of the workers	2.0	0.019	landowner and the capitalist can make	1	0.0095
106	confronts	8.0	0.0759	amount of	6.0	0.0569	between capitalist and	3.0	0.0285	and the division of	2.0	0.019	the general nature of private	2.0	0.019	and the capitalist can make use	1	0.0095
107	increases	8.0	0.0759	belongs to	6.0	0.0569	among the workers	3.0	0.0285	division of labour increases	2.0	0.019	general nature of private property	2.0	0.019	the capitalist can make use of	1	0.0095
108	abstract	8.0	0.0759	the interest	6.0	0.0569	for the workers	3.0	0.0285	of labour increases the	2.0	0.019	its relation to truly human	2.0	0.019	capitalist can make use of industrial	1	0.0095
109	machines	8.0	0.0759	of nature	6.0	0.0569	subsistence of the	3.0	0.0285	on the one hand	2.0	0.019	the relation of alienated labor	2.0	0.019	can make use of industrial advantages	1	0.0095
110	economic	8.0	0.0759	nature of	6.0	0.0569	his work and	3.0	0.0285	ever more dependent on	2.0	0.019	relation of alienated labor to	2.0	0.019	make use of industrial advantages to	1	0.0095
111	gods	8.0	0.0759	the concept	6.0	0.0569	not to die	3.0	0.0285	into the working class	2.0	0.019	in relation to the worker	2.0	0.019	use of industrial advantages to augment	1	0.0095
112	present	8.0	0.0759	concept of	6.0	0.0569	a commodity and	3.0	0.0285	of the working class	2.0	0.019	relation of the non worker	2.0	0.019	of industrial advantages to augment their	1	0.0095
113	form	8.0	0.0759	his production	6.0	0.0569	of the rich	3.0	0.0285	accumulation of capital and	2.0	0.019	of the non worker to	2.0	0.019	industrial advantages to augment their revenues	1	0.0095
114	population	8.0	0.0759	the doctrine	6.0	0.0569	is the worker	3.0	0.0285	the product of labour	2.0	0.019	the non worker to the	2.0	0.019	advantages to augment their revenues the	1	0.0095
115	needs	8.0	0.0759	doctrine of	6.0	0.0569	of the capitalist	3.0	0.0285	to the level of	2.0	0.019	non worker to the worker	2.0	0.019	to augment their revenues the worker	1	0.0095
116	mills	8.0	0.0759	an object	6.0	0.0569	part of the	3.0	0.0285	the level of a	2.0	0.019	worker to the worker and	2.0	0.019	augment their revenues the worker has	1	0.0095
117	material	8.0	0.0759	his product	6.0	0.0569	prices of provisions	3.0	0.0285	of a state of	2.0	0.019	to the worker and to	2.0	0.019	their revenues the worker has neither	1	0.0095
118	concept	8.0	0.0759	alienation of	6.0	0.0569	which the worker	3.0	0.0285	is the worker s	2.0	0.019	and to the product of	2.0	0.019	revenues the worker has neither rent	1	0.0095
119	creates	8.0	0.0759	life in	6.0	0.0569	the worker suffers	3.0	0.0285	the wages of labour	2.0	0.019	appears in the non worker	2.0	0.019	the worker has neither rent nor	1	0.0095
120	among	7.0	0.0664	a species	6.0	0.0569	situation of the	3.0	0.0285	by the reduction in	2.0	0.019	wages of labour wages are	1.0	0.0095	worker has neither rent nor interest	1	0.0095
121	consequences	7.0	0.0664	nature and	6.0	0.0569	in the first	3.0	0.0285	the reduction in the	2.0	0.019	of labour wages are determined	1.0	0.0095	has neither rent nor interest on	1	0.0095
122	wage	7.0	0.0664	nature is	6.0	0.0569	the raising of	3.0	0.0285	reduction in the amount	2.0	0.019	labour wages are determined through	1.0	0.0095	neither rent nor interest on capital	1	0.0095
123	natural	7.0	0.0664	from man	6.0	0.0569	raising of wages	3.0	0.0285	in the amount of	2.0	0.019	wages are determined through the	1.0	0.0095	rent nor interest on capital to	1	0.0095
124	land	7.0	0.0664	landed property	5.0	0.0474	in the service	3.0	0.0285	the amount of labour	2.0	0.019	are determined through the antagonistic	1.0	0.0095	nor interest on capital to supplement	1	0.0095
125	years	7.0	0.0664	the labour	5.0	0.0474	the service of	3.0	0.0285	amount of labour time	2.0	0.019	determined through the antagonistic struggle	1.0	0.0095	interest on capital to supplement his	1	0.0095
126	real	7.0	0.0664	workers the	5.0	0.0474	confronts him as	3.0	0.0285	the same time he	2.0	0.019	through the antagonistic struggle between	1.0	0.0095	on capital to supplement his industrial	1	0.0095
127	general	7.0	0.0664	is thus	5.0	0.0474	means of his	3.0	0.0285	same time he tells	2.0	0.019	the antagonistic struggle between capitalist	1.0	0.0095	capital to supplement his industrial income	1	0.0095
128	suffers	7.0	0.0664	work and	5.0	0.0474	of capital increases	3.0	0.0285	time he tells us	2.0	0.019	antagonistic struggle between capitalist and	1.0	0.0095	to supplement his industrial income hence	1	0.0095
129	lives	7.0	0.0664	of men	5.0	0.0474	capital increases the	3.0	0.0285	part of the product	2.0	0.019	struggle between capitalist and worker	1.0	0.0095	supplement his industrial income hence the	1	0.0095
130	accumulation	7.0	0.0664	a section	5.0	0.0474	of labour and	3.0	0.0285	as a human being	2.0	0.019	between capitalist and worker victory	1.0	0.0095	his industrial income hence the intensity	1	0.0095
131	machine	7.0	0.0664	has become	5.0	0.0474	labour and the	3.0	0.0285	a human being but	2.0	0.019	capitalist and worker victory goes	1.0	0.0095	industrial income hence the intensity of	1	0.0095
132	industry	7.0	0.0664	the rich	5.0	0.0474	the condition of	3.0	0.0285	as a worker and	2.0	0.019	and worker victory goes necessarily	1.0	0.0095	income hence the intensity of the	1	0.0095
133	position	7.0	0.0664	a part	5.0	0.0474	to the workers	3.0	0.0285	of the soil and	2.0	0.019	worker victory goes necessarily to	1.0	0.0095	hence the intensity of the competition	1	0.0095
134	things	7.0	0.0664	market price	5.0	0.0474	product of labour	3.0	0.0285	the soil and the	2.0	0.019	victory goes necessarily to the	1.0	0.0095	the intensity of the competition among	1	0.0095
135	day	7.0	0.0664	the first	5.0	0.0474	against the worker	3.0	0.0285	whilst according to the	2.0	0.019	goes necessarily to the capitalist	1.0	0.0095	intensity of the competition among the	1	0.0095
136	way	7.0	0.0664	worker who	5.0	0.0474	the worker as	3.0	0.0285	the price of labour	2.0	0.019	necessarily to the capitalist the	1.0	0.0095	of the competition among the workers	1	0.0095
137	appear	7.0	0.0664	of monopoly	5.0	0.0474	alien to him	3.0	0.0285	of the worker according	2.0	0.019	to the capitalist the capitalist	1.0	0.0095	the competition among the workers thus	1	0.0095
138	women	7.0	0.0664	the prices	5.0	0.0474	the level of	3.0	0.0285	the worker according to	2.0	0.019	the capitalist the capitalist can	1.0	0.0095	competition among the workers thus only	1	0.0095
139	realization	7.0	0.0664	in general	5.0	0.0474	the amount of	3.0	0.0285	stands opposed to the	2.0	0.019	capitalist the capitalist can live	1.0	0.0095	among the workers thus only for	1	0.0095
140	longer	6.0	0.0569	e the	5.0	0.0474	of labour to	3.0	0.0285	opposed to the interest	2.0	0.019	the capitalist can live longer	1.0	0.0095	the workers thus only for the	1	0.0095
141	essential	6.0	0.0569	much as	5.0	0.0474	the price of	3.0	0.0285	to the interest of	2.0	0.019	capitalist can live longer without	1.0	0.0095	workers thus only for the workers	1	0.0095
142	subsistence	6.0	0.0569	class of	5.0	0.0474	the standpoint of	3.0	0.0285	from the product of	2.0	0.019	can live longer without the	1.0	0.0095	thus only for the workers is	1	0.0095
143	die	6.0	0.0569	the one	5.0	0.0474	standpoint of the	3.0	0.0285	when society is in	2.0	0.019	live longer without the worker	1.0	0.0095	only for the workers is the	1	0.0095
144	supply	6.0	0.0569	a man	5.0	0.0474	he tells us	3.0	0.0285	society is in a	2.0	0.019	longer without the worker than	1.0	0.0095	for the workers is the separation	1	0.0095
145	rich	6.0	0.0569	activity and	5.0	0.0474	the product as	3.0	0.0285	is in a state	2.0	0.019	without the worker than can	1.0	0.0095	the workers is the separation of	1	0.0095
146	prices	6.0	0.0569	the greater	5.0	0.0474	the worker himself	3.0	0.0285	is the product of	2.0	0.019	the worker than can the	1.0	0.0095	workers is the separation of capital	1	0.0095
147	fall	6.0	0.0569	whilst the	5.0	0.0474	is man s	3.0	0.0285	only as a worker	2.0	0.019	worker than can the worker	1.0	0.0095	is the separation of capital landed	1	0.0095
148	always	6.0	0.0569	political economists	5.0	0.0474	worker according to	3.0	0.0285	he is not working	2.0	0.019	than can the worker without	1.0	0.0095	the separation of capital landed property	1	0.0095
149	place	6.0	0.0569	interest of	5.0	0.0474	means for the	3.0	0.0285	on the basis of	2.0	0.019	can the worker without the	1.0	0.0095	separation of capital landed property and	1	0.0095
150	products	6.0	0.0569	the present	5.0	0.0474	in the form	3.0	0.0285	equality of wages as	2.0	0.019	the worker without the capitalist	1.0	0.0095	of capital landed property and labour	1	0.0095
151	increased	6.0	0.0569	the question	5.0	0.0474	the form of	3.0	0.0285	the same time the	2.0	0.019	worker without the capitalist combination	1.0	0.0095	capital landed property and labour an	1	0.0095
152	something	6.0	0.0569	the english	5.0	0.0474	of labour is	3.0	0.0285	that is to say	2.0	0.019	without the capitalist combination among	1.0	0.0095	landed property and labour an inevitable	1	0.0095
153	amount	6.0	0.0569	the material	5.0	0.0474	of the latter	3.0	0.0285	in the labour organism	2.0	0.019	the capitalist combination among the	1.0	0.0095	property and labour an inevitable essential	1	0.0095
154	large	6.0	0.0569	life and	5.0	0.0474	proportion to the	3.0	0.0285	in the cotton mills	2.0	0.019	capitalist combination among the capitalists	1.0	0.0095	and labour an inevitable essential and	1	0.0095
