id	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
16	liberty	31.0	0.1966	in order	16.0	0.1015	a member of	6.0	0.038	the basis of all	3.0	0.019	i fail to see what	2.0	0.0127	soon gives rise to wars of	2	0.0127
17	whole	31.0	0.1966	the laws	16.0	0.1015	member of the	6.0	0.038	takes the place of	3.0	0.019	there is no need to	2.0	0.0127	xlv xlviii 1 the social contract	1	0.0063
18	act	31.0	0.1966	the public	15.0	0.0951	as long as	6.0	0.038	is an act of	3.0	0.019	to give it up for	2.0	0.0127	xlviii 1 the social contract or	1	0.0063
19	body	31.0	0.1966	state of	15.0	0.0951	the nature of	6.0	0.038	it is possible to	3.0	0.019	what do they gain if	2.0	0.0127	1 the social contract or principles	1	0.0063
20	good	30.0	0.1902	body politic	13.0	0.0824	a right to	6.0	0.038	always in the right	3.0	0.019	do they gain if the	2.0	0.0127	the social contract or principles of	1	0.0063
21	social	29.0	0.1839	a particular	13.0	0.0824	of the general	6.0	0.038	under no obligation to	3.0	0.019	from the mere fact that	2.0	0.0127	social contract or principles of political	1	0.0063
22	every	29.0	0.1839	part of	12.0	0.0761	part of the	6.0	0.038	the right of life	3.0	0.019	is it not clear that	2.0	0.0127	contract or principles of political right	1	0.0063
23	power	28.0	0.1775	of nature	12.0	0.0761	of the people	6.0	0.038	right of life and	3.0	0.019	under no obligation to a	2.0	0.0127	or principles of political right fœderis	1	0.0063
24	first	27.0	0.1712	a right	12.0	0.0761	the state is	6.0	0.038	of life and death	3.0	0.019	at the price of his	2.0	0.0127	principles of political right fœderis æquas	1	0.0063
25	make	27.0	0.1712	the law	12.0	0.0761	the state and	6.0	0.038	the right of slavery	3.0	0.019	the price of his liberty	2.0	0.0127	of political right fœderis æquas dicamus	1	0.0063
26	force	27.0	0.1712	ought to	12.0	0.0761	is no longer	6.0	0.038	the general will and	3.0	0.019	the state of war cannot	2.0	0.0127	political right fœderis æquas dicamus leges	1	0.0063
27	even	27.0	0.1712	the rest	11.0	0.0697	no longer a	6.0	0.038	member of the state	3.0	0.019	the state of nature where	2.0	0.0127	right fœderis æquas dicamus leges vergil	1	0.0063
28	common	27.0	0.1712	enough to	11.0	0.0697	such a case	6.0	0.038	of the state and	3.0	0.019	is in conformity with the	2.0	0.0127	fœderis æquas dicamus leges vergil æneid	1	0.0063
29	relation	26.0	0.1648	the common	11.0	0.0697	the basis of	5.0	0.0317	as we shall see	3.0	0.019	has a right to kill	2.0	0.0127	æquas dicamus leges vergil æneid xi	1	0.0063
30	public	25.0	0.1585	the legislator	11.0	0.0697	the place of	5.0	0.0317	the respective rights of	3.0	0.019	than the right of the	2.0	0.0127	dicamus leges vergil æneid xi 2	1	0.0063
31	great	25.0	0.1585	act of	10.0	0.0634	an act of	5.0	0.0317	general will is always	3.0	0.019	compelled to do so by	2.0	0.0127	leges vergil æneid xi 2 3	1	0.0063
32	war	25.0	0.1585	no one	10.0	0.0634	so far from	5.0	0.0317	on the part of	3.0	0.019	keep it as long as	2.0	0.0127	vergil æneid xi 2 3 foreword	1	0.0063
33	makes	24.0	0.1522	order to	10.0	0.0634	right to kill	5.0	0.0317	the part of the	3.0	0.019	it as long as i	2.0	0.0127	æneid xi 2 3 foreword this	1	0.0063
34	rights	23.0	0.1458	its members	10.0	0.0634	state of war	5.0	0.0317	the preservation of the	3.0	0.019	as long as i like	2.0	0.0127	xi 2 3 foreword this little	1	0.0063
35	chapter	22.0	0.1395	is always	10.0	0.0634	of the laws	5.0	0.0317	while they make for	3.0	0.019	for in the first place	2.0	0.0127	2 3 foreword this little treatise	1	0.0063
36	nothing	22.0	0.1395	state and	9.0	0.0571	in the first	5.0	0.0317	a prince or a	2.0	0.0127	direction of the general will	2.0	0.0127	3 foreword this little treatise is	1	0.0063
37	made	22.0	0.1395	long as	9.0	0.0571	the name of	5.0	0.0317	prince or a legislator	2.0	0.0127	the laws of the state	2.0	0.0127	foreword this little treatise is part	1	0.0063
38	never	22.0	0.1395	as soon	9.0	0.0571	the sovereign power	5.0	0.0317	member of the sovereign	2.0	0.0127	as a member of the	2.0	0.0127	this little treatise is part of	1	0.0063
39	order	21.0	0.1331	soon as	9.0	0.0571	a particular will	5.0	0.0317	of the first book	2.0	0.0127	the subjects to the sovereign	2.0	0.0127	little treatise is part of a	1	0.0063
40	shall	21.0	0.1331	nature of	9.0	0.0571	the first occupier	5.0	0.0317	as soon as it	2.0	0.0127	the body of the people	2.0	0.0127	treatise is part of a longer	1	0.0063
41	case	21.0	0.1331	instead of	9.0	0.0571	to be able	5.0	0.0317	the same right as	2.0	0.0127	this does not mean that	2.0	0.0127	is part of a longer work	1	0.0063
42	others	21.0	0.1331	the individuals	9.0	0.0571	be able to	5.0	0.0317	is the basis of	2.0	0.0127	does not mean that the	2.0	0.0127	part of a longer work which	1	0.0063
43	see	21.0	0.1331	a law	9.0	0.0571	that the general	5.0	0.0317	as soon as this	2.0	0.0127	the general will shall be	2.0	0.0127	of a longer work which i	1	0.0063
44	means	20.0	0.1268	it cannot	9.0	0.0571	that the sovereign	5.0	0.0317	to the father and	2.0	0.0127	in relation to its members	2.0	0.0127	a longer work which i began	1	0.0063
45	give	20.0	0.1268	of sovereignty	9.0	0.0571	general will is	5.0	0.0317	the father and the	2.0	0.0127	of the first occupier which	2.0	0.0127	longer work which i began years	1	0.0063
46	part	19.0	0.1205	it may	9.0	0.0571	a people is	4.0	0.0254	from the nature of	2.0	0.0127	is it to be enough	2.0	0.0127	work which i began years ago	1	0.0063
47	longer	19.0	0.1205	means of	8.0	0.0507	the human race	4.0	0.0254	he owes to himself	2.0	0.0127	for the good of the	2.0	0.0127	which i began years ago without	1	0.0063
48	another	19.0	0.1205	even if	8.0	0.0507	of the strongest	4.0	0.0254	the place of the	2.0	0.0127	there is no longer a	2.0	0.0127	i began years ago without realising	1	0.0063
49	life	19.0	0.1205	so far	8.0	0.0507	in that case	4.0	0.0254	then according to grotius	2.0	0.0127	is an act of sovereignty	2.0	0.0127	began years ago without realising my	1	0.0063
50	interest	18.0	0.1141	social compact	8.0	0.0507	be said that	4.0	0.0254	for the purpose of	2.0	0.0127	that the general will is	2.0	0.0127	years ago without realising my limitations	1	0.0063
51	individual	18.0	0.1141	we shall	8.0	0.0507	right of slavery	4.0	0.0254	of a nature superior	2.0	0.0127	at the expense of the	2.0	0.0127	ago without realising my limitations and	1	0.0063
52	gives	18.0	0.1141	state is	8.0	0.0507	in the social	4.0	0.0254	a nature superior to	2.0	0.0127	no longer a general will	2.0	0.0127	without realising my limitations and long	1	0.0063
53	members	18.0	0.1141	the great	8.0	0.0507	has a right	4.0	0.0254	nature superior to that	2.0	0.0127	the respective rights of the	2.0	0.0127	realising my limitations and long since	1	0.0063
54	less	18.0	0.1141	social contract	7.0	0.0444	no one has	4.0	0.0254	superior to that of	2.0	0.0127	general will is always in	2.0	0.0127	my limitations and long since abandoned	1	0.0063
55	object	18.0	0.1141	member of	7.0	0.0444	of its members	4.0	0.0254	i fail to see	2.0	0.0127	will is always in the	2.0	0.0127	limitations and long since abandoned of	1	0.0063
56	country	17.0	0.1078	people is	7.0	0.0444	the preservation of	4.0	0.0254	fail to see what	2.0	0.0127	is always in the right	2.0	0.0127	and long since abandoned of the	1	0.0063
57	authority	17.0	0.1078	to obey	7.0	0.0444	general will and	4.0	0.0254	there is no need	2.0	0.0127	in such a case the	2.0	0.0127	long since abandoned of the various	1	0.0063
58	subjects	17.0	0.1078	right which	7.0	0.0444	of the whole	4.0	0.0254	is no need to	2.0	0.0127	the preservation of the state	2.0	0.0127	since abandoned of the various fragments	1	0.0063
59	wills	17.0	0.1078	according to	7.0	0.0444	to the sovereign	4.0	0.0254	to give it up	2.0	0.0127	it may be said that	2.0	0.0127	abandoned of the various fragments that	1	0.0063
60	1	16.0	0.1014	said that	7.0	0.0444	the body of	4.0	0.0254	give it up for	2.0	0.0127	the constitution of a state	2.0	0.0127	of the various fragments that might	1	0.0063
61	civil	16.0	0.1014	one of	7.0	0.0444	body of the	4.0	0.0254	it will be said	2.0	0.0127	soon gives rise to wars	2.0	0.0127	the various fragments that might have	1	0.0063
62	legislator	16.0	0.1014	the strongest	7.0	0.0444	the common interest	4.0	0.0254	be said that the	2.0	0.0127	gives rise to wars of	2.0	0.0127	various fragments that might have been	1	0.0063
63	natural	16.0	0.1014	an act	7.0	0.0444	by the social	4.0	0.0254	what do they gain	2.0	0.0127	or if it makes for	2.0	0.0127	fragments that might have been extracted	1	0.0063
64	also	16.0	0.1014	to give	7.0	0.0444	he ought to	4.0	0.0254	do they gain if	2.0	0.0127	xlv xlviii 1 the social	1.0	0.0063	that might have been extracted from	1	0.0063
65	us	16.0	0.1014	no right	7.0	0.0444	of the public	4.0	0.0254	they gain if the	2.0	0.0127	xlviii 1 the social contract	1.0	0.0063	might have been extracted from what	1	0.0063
66	ought	16.0	0.1014	rights of	7.0	0.0444	so to speak	4.0	0.0254	from the mere fact	2.0	0.0127	1 the social contract or	1.0	0.0063	have been extracted from what i	1	0.0063
67	individuals	16.0	0.1014	his life	7.0	0.0444	will is always	4.0	0.0254	the mere fact that	2.0	0.0127	the social contract or principles	1.0	0.0063	been extracted from what i wrote	1	0.0063
68	sovereignty	16.0	0.1014	to kill	7.0	0.0444	all the rest	4.0	0.0254	right to dispose of	2.0	0.0127	social contract or principles of	1.0	0.0063	extracted from what i wrote this	1	0.0063
69	therefore	15.0	0.0951	of war	7.0	0.0444	ought to be	4.0	0.0254	in a position to	2.0	0.0127	contract or principles of political	1.0	0.0063	from what i wrote this is	1	0.0063
70	need	15.0	0.0951	a great	7.0	0.0444	it may be	4.0	0.0254	is it not clear	2.0	0.0127	or principles of political right	1.0	0.0063	what i wrote this is the	1	0.0063
71	could	15.0	0.0951	in relation	7.0	0.0444	to the public	3.0	0.019	it not clear that	2.0	0.0127	principles of political right fœderis	1.0	0.0063	i wrote this is the most	1	0.0063
72	enough	15.0	0.0951	relation to	7.0	0.0444	in order that	3.0	0.019	no obligation to a	2.0	0.0127	of political right fœderis æquas	1.0	0.0063	wrote this is the most considerable	1	0.0063
73	neither	14.0	0.0888	particular will	7.0	0.0444	basis of all	3.0	0.019	in the absence of	2.0	0.0127	political right fœderis æquas dicamus	1.0	0.0063	this is the most considerable and	1	0.0063
74	soon	14.0	0.0888	a case	7.0	0.0444	to the father	3.0	0.019	at the price of	2.0	0.0127	right fœderis æquas dicamus leges	1.0	0.0063	is the most considerable and i	1	0.0063
75	convention	14.0	0.0888	a member	6.0	0.038	so long as	3.0	0.019	the price of his	2.0	0.0127	fœderis æquas dicamus leges vergil	1.0	0.0063	the most considerable and i think	1	0.0063
76	peoples	14.0	0.0888	as long	6.0	0.038	the care he	3.0	0.019	price of his liberty	2.0	0.0127	æquas dicamus leges vergil æneid	1.0	0.0063	most considerable and i think the	1	0.0063
77	thus	14.0	0.0888	the father	6.0	0.038	he owes to	3.0	0.019	from the state of	2.0	0.0127	dicamus leges vergil æneid xi	1.0	0.0063	considerable and i think the least	1	0.0063
78	merely	14.0	0.0888	the nature	6.0	0.038	and the people	3.0	0.019	state of war cannot	2.0	0.0127	leges vergil æneid xi 2	1.0	0.0063	and i think the least unworthy	1	0.0063
79	government	14.0	0.0888	place of	6.0	0.038	takes the place	3.0	0.019	state of nature where	2.0	0.0127	vergil æneid xi 2 3	1.0	0.0063	i think the least unworthy of	1	0.0063
80	contract	13.0	0.0824	belongs to	6.0	0.038	place of the	3.0	0.019	is in conformity with	2.0	0.0127	æneid xi 2 3 foreword	1.0	0.0063	think the least unworthy of being	1	0.0063
81	long	13.0	0.0824	i e	6.0	0.038	in favour of	3.0	0.019	in conformity with the	2.0	0.0127	xi 2 3 foreword this	1.0	0.0063	the least unworthy of being offered	1	0.0063
82	rest	13.0	0.0824	the effect	6.0	0.038	by no means	3.0	0.019	a right to kill	2.0	0.0127	2 3 foreword this little	1.0	0.0063	least unworthy of being offered to	1	0.0063
83	still	13.0	0.0824	like the	6.0	0.038	i have said	3.0	0.019	no one has any	2.0	0.0127	3 foreword this little treatise	1.0	0.0063	unworthy of being offered to the	1	0.0063
84	said	13.0	0.0824	the world	6.0	0.038	of the world	3.0	0.019	of its members and	2.0	0.0127	foreword this little treatise is	1.0	0.0063	of being offered to the public	1	0.0063
85	far	13.0	0.0824	right and	6.0	0.038	is an act	3.0	0.019	than the right of	2.0	0.0127	this little treatise is part	1.0	0.0063	being offered to the public the	1	0.0063
86	reason	13.0	0.0824	forced to	6.0	0.038	it is possible	3.0	0.019	the right to enslave	2.0	0.0127	little treatise is part of	1.0	0.0063	offered to the public the rest	1	0.0063
87	politic	13.0	0.0824	mean that	6.0	0.038	is possible to	3.0	0.019	on the right of	2.0	0.0127	treatise is part of a	1.0	0.0063	to the public the rest no	1	0.0063
88	legitimate	12.0	0.0761	an individual	6.0	0.038	always in the	3.0	0.019	compelled to do so	2.0	0.0127	is part of a longer	1.0	0.0063	the public the rest no longer	1	0.0063
89	upon	12.0	0.0761	a master	6.0	0.038	in the right	3.0	0.019	because it is absurd	2.0	0.0127	part of a longer work	1.0	0.0063	public the rest no longer exists	1	0.0063
90	subject	12.0	0.0761	could not	6.0	0.038	under no obligation	3.0	0.019	for a man to	2.0	0.0127	of a longer work which	1.0	0.0063	the rest no longer exists 4	1	0.0063
91	free	12.0	0.0761	far from	6.0	0.038	no obligation to	3.0	0.019	keep it as long	2.0	0.0127	a longer work which i	1.0	0.0063	rest no longer exists 4 5	1	0.0063
92	master	12.0	0.0761	to make	6.0	0.038	to give it	3.0	0.019	it as long as	2.0	0.0127	longer work which i began	1.0	0.0063	no longer exists 4 5 book	1	0.0063
93	obey	12.0	0.0761	each man	6.0	0.038	to a king	3.0	0.019	as long as i	2.0	0.0127	work which i began years	1.0	0.0063	longer exists 4 5 book i	1	0.0063
94	preservation	12.0	0.0761	cannot be	6.0	0.038	to the word	3.0	0.019	long as i like	2.0	0.0127	which i began years ago	1.0	0.0063	exists 4 5 book i i	1	0.0063
95	becomes	12.0	0.0761	a state	6.0	0.038	a man who	3.0	0.019	a great difference between	2.0	0.0127	i began years ago without	1.0	0.0063	4 5 book i i mean	1	0.0063
96	place	12.0	0.0761	the subjects	6.0	0.038	that a man	3.0	0.019	itself to a king	2.0	0.0127	began years ago without realising	1.0	0.0063	5 book i i mean to	1	0.0063
97	possible	12.0	0.0761	life and	6.0	0.038	the rights of	3.0	0.019	the act by which	2.0	0.0127	years ago without realising my	1.0	0.0063	book i i mean to inquire	1	0.0063
98	king	12.0	0.0761	each individual	6.0	0.038	a man to	3.0	0.019	by the nature of	2.0	0.0127	ago without realising my limitations	1.0	0.0063	i i mean to inquire if	1	0.0063
99	become	12.0	0.0761	the name	6.0	0.038	of the act	3.0	0.019	the nature of the	2.0	0.0127	without realising my limitations and	1.0	0.0063	i mean to inquire if in	1	0.0063
100	among	12.0	0.0761	able to	6.0	0.038	to kill the	3.0	0.019	for in the first	2.0	0.0127	realising my limitations and long	1.0	0.0063	mean to inquire if in the	1	0.0063
101	compact	12.0	0.0761	common interest	6.0	0.038	in conformity with	3.0	0.019	in the first place	2.0	0.0127	my limitations and long since	1.0	0.0063	to inquire if in the civil	1	0.0063
102	political	11.0	0.0697	the community	6.0	0.038	a right which	3.0	0.019	direction of the general	2.0	0.0127	limitations and long since abandoned	1.0	0.0063	inquire if in the civil order	1	0.0063
103	either	11.0	0.0697	the good	6.0	0.038	right of life	3.0	0.019	the laws of the	2.0	0.0127	and long since abandoned of	1.0	0.0063	if in the civil order there	1	0.0063
104	human	11.0	0.0697	longer a	6.0	0.038	of life and	3.0	0.019	laws of the state	2.0	0.0127	long since abandoned of the	1.0	0.0063	in the civil order there can	1	0.0063
105	many	11.0	0.0697	case the	6.0	0.038	life and death	3.0	0.019	as a member of	2.0	0.0127	since abandoned of the various	1.0	0.0063	the civil order there can be	1	0.0063
106	like	11.0	0.0697	the citizens	6.0	0.038	a man or	3.0	0.019	the subjects to the	2.0	0.0127	abandoned of the various fragments	1.0	0.0063	civil order there can be any	1	0.0063
107	moment	11.0	0.0697	of legislation	6.0	0.038	act by which	3.0	0.019	subjects to the sovereign	2.0	0.0127	of the various fragments that	1.0	0.0063	order there can be any sure	1	0.0063
108	conditions	11.0	0.0697	one which	6.0	0.038	the law of	3.0	0.019	of the body politic	2.0	0.0127	the various fragments that might	1.0	0.0063	there can be any sure and	1	0.0063
109	real	11.0	0.0697	the civil	5.0	0.0317	a sum of	3.0	0.019	body of the people	2.0	0.0127	various fragments that might have	1.0	0.0063	can be any sure and legitimate	1	0.0063
110	indeed	11.0	0.0697	shall be	5.0	0.0317	by means of	3.0	0.019	this does not mean	2.0	0.0127	fragments that might have been	1.0	0.0063	be any sure and legitimate rule	1	0.0063
111	much	11.0	0.0697	makes it	5.0	0.0317	nature of the	3.0	0.019	does not mean that	2.0	0.0127	that might have been extracted	1.0	0.0063	any sure and legitimate rule of	1	0.0063
112	equality	11.0	0.0697	the basis	5.0	0.0317	to the whole	3.0	0.019	not mean that the	2.0	0.0127	might have been extracted from	1.0	0.0063	sure and legitimate rule of administration	1	0.0063
113	legislation	11.0	0.0697	basis of	5.0	0.0317	the union of	3.0	0.019	enter into undertakings with	2.0	0.0127	have been extracted from what	1.0	0.0063	and legitimate rule of administration men	1	0.0063
114	constitution	11.0	0.0697	and even	5.0	0.0317	the laws of	3.0	0.019	it is impossible to	2.0	0.0127	been extracted from what i	1.0	0.0063	legitimate rule of administration men being	1	0.0063
115	justice	10.0	0.0634	the place	5.0	0.0317	the individuals and	3.0	0.019	is not the case	2.0	0.0127	extracted from what i wrote	1.0	0.0063	rule of administration men being taken	1	0.0063
116	citizen	10.0	0.0634	possible to	5.0	0.0317	the sovereign to	3.0	0.019	the relation of the	2.0	0.0127	from what i wrote this	1.0	0.0063	of administration men being taken as	1	0.0063
117	find	10.0	0.0634	the human	5.0	0.0317	of the body	3.0	0.019	the general will which	2.0	0.0127	what i wrote this is	1.0	0.0063	administration men being taken as they	1	0.0063
118	greater	10.0	0.0634	the former	5.0	0.0317	it is impossible	3.0	0.019	the undoing of the	2.0	0.0127	i wrote this is the	1.0	0.0063	men being taken as they are	1	0.0063
119	question	10.0	0.0634	superior to	5.0	0.0317	one of the	3.0	0.019	that the social compact	2.0	0.0127	wrote this is the most	1.0	0.0063	being taken as they are and	1	0.0063
120	say	10.0	0.0634	every man	5.0	0.0317	to the common	3.0	0.019	the general will shall	2.0	0.0127	this is the most considerable	1.0	0.0063	taken as they are and laws	1	0.0063
121	called	10.0	0.0634	power and	5.0	0.0317	be forced to	3.0	0.019	general will shall be	2.0	0.0127	is the most considerable and	1.0	0.0063	as they are and laws as	1	0.0063
122	takes	10.0	0.0634	to see	5.0	0.0317	to his country	3.0	0.019	will be forced to	2.0	0.0127	the most considerable and i	1.0	0.0063	they are and laws as they	1	0.0063
123	grotius	10.0	0.0634	is possible	5.0	0.0317	the civil state	3.0	0.019	it would be absurd	2.0	0.0127	most considerable and i think	1.0	0.0063	are and laws as they might	1	0.0063
124	slavery	10.0	0.0634	always in	5.0	0.0317	i have already	3.0	0.019	by the social contract	2.0	0.0127	considerable and i think the	1.0	0.0063	and laws as they might be	1	0.0063
125	fact	10.0	0.0634	the word	5.0	0.0317	for the state	3.0	0.019	right to everything he	2.0	0.0127	and i think the least	1.0	0.0063	laws as they might be in	1	0.0063
126	everything	10.0	0.0634	liberty and	5.0	0.0317	not so much	3.0	0.019	the strength of the	2.0	0.0127	i think the least unworthy	1.0	0.0063	as they might be in this	1	0.0063
127	citizens	10.0	0.0634	subject to	5.0	0.0317	and the whole	3.0	0.019	i have already said	2.0	0.0127	think the least unworthy of	1.0	0.0063	they might be in this inquiry	1	0.0063
128	instead	10.0	0.0634	a king	5.0	0.0317	as we shall	3.0	0.019	in relation to its	2.0	0.0127	the least unworthy of being	1.0	0.0063	might be in this inquiry i	1	0.0063
129	together	10.0	0.0634	man who	5.0	0.0317	we shall see	3.0	0.019	relation to its members	2.0	0.0127	least unworthy of being offered	1.0	0.0063	be in this inquiry i shall	1	0.0063
130	making	10.0	0.0634	to preserve	5.0	0.0317	one with another	3.0	0.019	the first occupier which	2.0	0.0127	unworthy of being offered to	1.0	0.0063	in this inquiry i shall endeavour	1	0.0063
131	two	10.0	0.0634	be said	5.0	0.0317	the social tie	3.0	0.019	it to be enough	2.0	0.0127	of being offered to the	1.0	0.0063	this inquiry i shall endeavour always	1	0.0063
132	different	10.0	0.0634	the rights	5.0	0.0317	can never be	3.0	0.019	to prevent them from	2.0	0.0127	being offered to the public	1.0	0.0063	inquiry i shall endeavour always to	1	0.0063
133	inhabitants	10.0	0.0634	the act	5.0	0.0317	but it cannot	3.0	0.019	a man or a	2.0	0.0127	offered to the public the	1.0	0.0063	i shall endeavour always to unite	1	0.0063
134	principles	9.0	0.0571	the latter	5.0	0.0317	act of sovereignty	3.0	0.019	the sovereign and the	2.0	0.0127	to the public the rest	1.0	0.0063	shall endeavour always to unite what	1	0.0063
135	might	9.0	0.0571	a relation	5.0	0.0317	of sovereignty but	3.0	0.019	on the basis of	2.0	0.0127	the public the rest no	1.0	0.0063	endeavour always to unite what right	1	0.0063
136	member	9.0	0.0571	a single	5.0	0.0317	the respective rights	3.0	0.019	the general will can	2.0	0.0127	public the rest no longer	1.0	0.0063	always to unite what right sanctions	1	0.0063
137	know	9.0	0.0571	its object	5.0	0.0317	respective rights of	3.0	0.019	with the general will	2.0	0.0127	the rest no longer exists	1.0	0.0063	to unite what right sanctions with	1	0.0063
138	well	9.0	0.0571	this act	5.0	0.0317	to the state	3.0	0.019	for the good of	2.0	0.0127	rest no longer exists 4	1.0	0.0063	unite what right sanctions with what	1	0.0063
139	equally	9.0	0.0571	law of	5.0	0.0317	the limits of	3.0	0.019	the good of the	2.0	0.0127	no longer exists 4 5	1.0	0.0063	what right sanctions with what is	1	0.0063
140	goods	9.0	0.0571	the resources	5.0	0.0317	by the law	3.0	0.019	there is no longer	2.0	0.0127	longer exists 4 5 book	1.0	0.0063	right sanctions with what is prescribed	1	0.0063
141	person	9.0	0.0571	sum of	5.0	0.0317	is always in	3.0	0.019	so long as the	2.0	0.0127	exists 4 5 book i	1.0	0.0063	sanctions with what is prescribed by	1	0.0063
142	alone	9.0	0.0571	the conditions	5.0	0.0317	on the part	3.0	0.019	of the people this	2.0	0.0127	4 5 book i i	1.0	0.0063	with what is prescribed by interest	1	0.0063
143	system	9.0	0.0571	as many	5.0	0.0317	the part of	3.0	0.019	an act of sovereignty	2.0	0.0127	5 book i i mean	1.0	0.0063	what is prescribed by interest in	1	0.0063
144	ever	9.0	0.0571	name of	5.0	0.0317	preservation of the	3.0	0.019	and the general will	2.0	0.0127	book i i mean to	1.0	0.0063	is prescribed by interest in order	1	0.0063
145	society	9.0	0.0571	sovereign power	5.0	0.0317	in a word	3.0	0.019	the general will the	2.0	0.0127	i i mean to inquire	1.0	0.0063	prescribed by interest in order that	1	0.0063
146	point	9.0	0.0571	one to	5.0	0.0317	to the laws	3.0	0.019	communication one with another	2.0	0.0127	i mean to inquire if	1.0	0.0063	by interest in order that justice	1	0.0063
147	set	9.0	0.0571	the members	5.0	0.0317	gives rise to	3.0	0.019	at the expense of	2.0	0.0127	mean to inquire if in	1.0	0.0063	interest in order that justice and	1	0.0063
148	possession	9.0	0.0571	first occupier	5.0	0.0317	the force of	3.0	0.019	the expense of the	2.0	0.0127	to inquire if in the	1.0	0.0063	in order that justice and utility	1	0.0063
149	land	9.0	0.0571	the moment	5.0	0.0317	while they make	3.0	0.019	general in relation to	2.0	0.0127	inquire if in the civil	1.0	0.0063	order that justice and utility may	1	0.0063
150	since	8.0	0.0507	the land	5.0	0.0317	they make for	3.0	0.019	in relation to the	2.0	0.0127	if in the civil order	1.0	0.0063	that justice and utility may in	1	0.0063
151	taken	8.0	0.0507	be able	5.0	0.0317	principles of political	2.0	0.0127	the state it may	2.0	0.0127	in the civil order there	1.0	0.0063	justice and utility may in no	1	0.0063
152	born	8.0	0.0507	to speak	5.0	0.0317	is part of	2.0	0.0127	no longer a general	2.0	0.0127	the civil order there can	1.0	0.0063	and utility may in no case	1	0.0063
153	new	8.0	0.0507	one with	5.0	0.0317	part of a	2.0	0.0127	longer a general will	2.0	0.0127	civil order there can be	1.0	0.0063	utility may in no case be	1	0.0063
154	better	8.0	0.0507	never be	5.0	0.0317	of a longer	2.0	0.0127	absolute power over all	2.0	0.0127	order there can be any	1.0	0.0063	may in no case be divided	1	0.0063
155	naturally	8.0	0.0507	among the	5.0	0.0317	might have been	2.0	0.0127	respective rights of the	2.0	0.0127	there can be any sure	1.0	0.0063	in no case be divided i	1	0.0063
156	judge	8.0	0.0507	the part	5.0	0.0317	the public the	2.0	0.0127	by the social compact	2.0	0.0127	can be any sure and	1.0	0.0063	no case be divided i enter	1	0.0063
